frames,policy_entropy,policy_loss,grad_norm,advantage_norm,explained_variance,PMM:episode_rewards,P09:episode_rewards,epoch_idx,value_loss,episode_length,P01:episode_rewards,fps
248000,1.3511724257469178,-0.0007285814403439872,0.2091039755896051,0.8527219039201737,0.9482074803113938,1.97,5.1000000000000085,31,0.005538354479940608,204.96,0.0,221
256000,1.3579247093200684,0.00013201638270402328,0.18452092676858553,0.7425492991507053,0.9544828790426254,1.96,6.0,32,0.004268988739931956,202.89,0.0,220
264000,1.3531234216690065,-0.0005599162122234702,0.22496829445456634,0.9221479849517346,0.916423699259758,1.91,5.1000000000000085,33,0.006423961051332298,199.66,0.0,220
272000,1.353416827917099,-0.0007515248452546075,0.18634225183462555,0.7650620537996292,0.9459771835803985,1.66,5.0,34,0.004505522208637558,192.95,0.0,221
280000,1.364752243757248,-8.061296248342841e-05,0.17043789961351308,0.7591953819990158,0.9361296272277833,1.86,5.0,35,0.004613706870586611,200.19,0.0,221
288000,1.3524705743789673,-0.0016800049695302733,0.2206764301353861,0.8816436946392059,0.9482077181339263,2.01,6.0,36,0.005797266394656617,203.36,0.0,220
296000,1.3418084073066712,-0.001755181435146369,0.1592055228172897,0.7140853956341744,0.9657859998941422,1.99,6.0,37,0.00403648141247686,204.25,0.0,220
304000,1.3395813941955566,-0.0006706257311088848,0.15333766257626644,0.6138647323846818,0.9734905993938446,2.07,6.0,38,0.0029830577020766216,208.58,0.0,221
312000,1.3480023562908172,-0.00020152885786956176,0.20882077488407746,0.8588003519177437,0.9481800055503845,2.03,5.0,39,0.005607471235562116,206.18,0.0,219
320000,1.3409104025363923,-0.0029803611403986,0.24048991210411735,0.9439337751269341,0.9245612889528274,2.1,5.0,40,0.006994791235192679,208.64,0.0,219
328000,1.3608562922477723,0.00010267730627674609,0.2330775966842854,0.9144896054267884,0.8995557659864426,2.09,5.0,41,0.006578420323785394,206.96,0.0,220
336000,1.367782267332077,-0.0007981859069695929,0.22711609809800382,0.9516679073870182,0.9253378129005432,2.1,6.0,42,0.006757597413379699,206.77,0.0,220
344000,1.3586987173557281,-3.7616718327626585e-06,0.24254673548432926,1.0120574915409088,0.9171913188695907,2.09,6.0,43,0.007761473986320198,208.06,0.0,220
352000,1.3725347316265106,-0.0015929982690431642,0.25648889124855,1.117486919760704,0.9075106865167618,2.58,7.0,44,0.008875680031487719,225.81,0.0,219
360000,1.3667011892795562,5.121861316752074e-05,0.2509364456885286,0.9767410856485367,0.9130592948198318,2.24,7.0,45,0.007010185373947025,212.53,0.0,220
368000,1.3570687294006347,-0.0043014023992873265,0.3373938507452734,1.0627265000343322,0.9115660083293915,2.29,7.1000000000000085,46,0.010046018557040952,211.94,0.0,219
376000,1.3520503091812133,-0.0019554961365065536,0.16109849097922105,0.6819687819480896,0.9647703927755356,1.96,8.0,47,0.003532405358273536,198.64,0.0,219
384000,1.3634289157390596,-6.029269628925249e-05,0.19889514142376016,0.8591110616922378,0.9383032369613648,1.82,5.0,48,0.00558897875220282,196.58,0.0,219
392000,1.3510954320430755,-0.0007303457173975403,0.26899658512524355,1.0502065920829773,0.9106119334697723,1.97,5.0,49,0.008227306107291952,204.12,0.0,219
400000,1.3451156878471375,0.00022491540570626967,0.21708215508364115,0.8754754203557968,0.9350255882740021,2.03,5.0,50,0.005820662118494511,207.45,0.0,219
408000,1.3525985395908355,-1.8100967863574625e-05,0.22400160291713025,0.9554314884543419,0.9116404074430465,2.11,5.1000000000000085,51,0.007235655385884456,208.38,0.0,219
416000,1.3575725662708282,-0.0033961556223221123,0.3264749695781966,1.1868797099590302,0.8765641456842422,2.53,6.0,52,0.009963943815673702,222.61,0.0,219
424000,1.3507848370075226,0.0014066361665027215,0.27701971095755445,1.0629555115103722,0.9116966873407364,2.62,6.0,53,0.00823588332394138,225.99,0.0,219
432000,1.3500631940364838,-0.0017917500654584728,0.24662274694675368,1.0382824596762656,0.8963387948274613,2.46,5.1000000000000085,54,0.007818880141712725,220.07,0.0,219
440000,1.3429937911033631,0.00020493843127042055,0.3081525675526691,1.138290175795555,0.8667140221595764,2.18,5.0,55,0.01065640106680803,212.34,0.0,219
448000,1.3575675356388093,-0.0007069013465479657,0.3897613876562378,1.0868621638417244,0.8864495605230331,2.14,5.0,56,0.01453100612387061,207.85,0.0,219
456000,1.3530694460868835,4.9417525515309537e-05,0.1764247041301688,0.8070007029175759,0.9318868404626847,2.21,6.300000000000026,57,0.005037015074631199,206.99,0.0,219
464000,1.3590767979621887,-0.0021610719550517387,0.29985678381785985,1.2018658217787743,0.885159050822258,2.25,6.1000000000000085,58,0.010291860952274873,210.85,0.0,219
472000,1.3391019535064697,-0.00038803869269031564,0.25867034142467976,1.051600353717804,0.9204749518632889,2.48,6.0,59,0.008191578373662196,220.96,0.0,219
480000,1.3479201233386993,-0.0006467787735164166,0.25718390253716256,1.046016511619091,0.9019068443775177,2.74,6.0,60,0.008053389195119963,232.31,0.0,219
488000,1.3468919599056244,-0.0004467462288448587,0.23615182064964138,0.9763587415218353,0.9243524265289307,2.71,6.1000000000000085,61,0.006874770115828142,230.72,0.0,219
496000,1.3217903530597688,-0.0019690067862393333,0.24571435316239632,1.0071869793534278,0.9376420837640762,2.75,6.200000000000017,62,0.007165919131366536,231.67,0.0,219
504000,1.3304771339893342,-0.0013786369725130498,0.2926868285296699,1.2316047516465187,0.8839310151338577,3.23,8.0,63,0.010540942675434053,249.71,0.0,219
512000,1.3422388315200806,-0.0011823812806687783,0.22286393724659864,0.9305717507004738,0.9424306708574295,3.58,9.0,64,0.006161069443915039,264.11,0.0,220
520000,1.344004728794098,-0.0004081123217474669,0.2499480132847895,1.0012047564983368,0.9297908967733384,3.71,9.0,65,0.0070439870120026175,267.41,0.0,220
528000,1.3441558861732483,-0.002064054950606078,0.32868338669761377,1.1272795873880386,0.9114508247375488,3.58,9.0,66,0.00909318218822591,259.92,0.0,220
536000,1.3367971622943877,-0.0014673347829375417,0.23839220176448472,0.9755213835835457,0.9262804359197616,3.4,9.0,67,0.006810311949811876,253.15,0.0,220
544000,1.3379488730430602,-0.0018465849000494927,0.28877647000642254,1.1269630420207977,0.9042863780260086,3.28,9.0,68,0.009010001494316385,249.12,0.0,220
552000,1.3402178847789765,-0.000985578687977977,0.2777926456115552,1.1746872049570083,0.8834617245197296,3.29,9.0,69,0.00936457700561732,249.58,0.0,220
560000,1.3353394889831542,-0.00039983819180633873,0.3211151066198733,1.2780384701490402,0.8848143488168716,3.22,8.0,70,0.011443496237043292,248.07,0.0,221
568000,1.33170117020607,-0.0011140970961423591,0.2755599662696593,1.1496318632364273,0.9102854573726654,3.58,9.0,71,0.009111757902428508,259.13,0.0,221
576000,1.3477679550647736,-0.0005998061472200788,0.24514134971074011,1.0384289935231208,0.9213352525234222,3.27,6.200000000000017,72,0.007908986369729974,248.76,0.0,221
584000,1.3435005378723144,-0.0010155915335053579,0.2992065346348794,1.2209767502546311,0.8686033517122269,3.28,6.0,73,0.010329021274810658,249.56,0.0,220
592000,1.3136908292770386,-0.003992552087001968,0.3243243411776336,1.3503323286771773,0.8785705804824829,3.18,7.0,74,0.012360706538893283,246.4,0.0,221
600000,1.2871876919269563,-0.002423549550876487,0.3049617081591472,1.2684824138879776,0.8894964116811752,3.45,7.0,75,0.011047164490446449,256.96,0.0,221
608000,1.284146901369095,-0.0014460671419510617,0.3406103105848895,1.4159222573041916,0.8237180149555207,4.24,9.0,76,0.013714392366819084,280.63,0.0,220
616000,1.3195208561420442,-0.0011847442894941196,0.3234795692256272,1.3028058636188506,0.8718119829893112,4.82,10.0,77,0.011418497156118973,296.83,0.9000000000000004,220
