frames,approx_kl_divergence,policy_entropy,PMM:episode_rewards,epoch_idx,explained_variance,fps,P01:episode_rewards,value_loss,grad_norm,P09:episode_rewards,clip_fraction,episode_length,policy_loss,advantage_norm
225280,0.003455247307783793,1.7361280083656312,223.5,22,-1.601874828338623e-08,417,50.0,0.011336735129589215,0.05518667263551478,480.00000000000045,0.2643310546875,344.23,-0.002603643345355522,15.96871799826622
235520,0.0037032635884656885,1.7370729826390743,209.5,23,1.4901161193847657e-09,418,50.0,0.009220944345725002,0.05559090628797893,475.0,0.2788818359375,342.72,-0.0019020816172997002,15.9687175989151
245760,0.0033981872728531927,1.6503420770168304,229.25,24,1.4528632164001465e-08,418,50.0,0.010276781036736793,0.05323804326634708,527.5000000000002,0.2437744140625,349.76,-0.0016091966128442437,15.968717753887177
256000,0.0022005621085213535,1.636000519990921,226.5,25,6.332993507385254e-09,419,50.0,0.012425809989508707,0.05307647356725944,482.5000000000007,0.1663818359375,346.71,-0.0009718695444462355,15.968717801570893
266240,0.0032519885658985003,1.6880736380815506,226.5,26,-9.685754776000977e-09,420,72.50000000000001,0.01269125667931803,0.05584325829351309,452.50000000000017,0.2194091796875,347.21,-0.001221791662828764,15.96871771812439
276480,0.003278731339764818,1.7176511473953724,215.75,27,1.7881393432617187e-08,420,50.0,0.01202483405941166,0.05635123146347222,382.5000000000007,0.2087158203125,340.26,-0.0011711694831319619,15.968717861175538
286720,0.003159622690515107,1.7310623191297054,214.0,28,-1.3783574104309083e-08,420,50.0,0.008917406044747622,0.05183303160842771,455.0000000000004,0.218310546875,341.28,-0.0017390230954333675,15.968717509508133
296960,0.003636267776175828,1.7392959043383598,167.75,29,9.685754776000977e-09,419,25.0,0.006149849679486863,0.04991693807624199,350.0,0.2694091796875,334.98,-0.0015410450545459754,15.96855890750885
307200,0.0036762043268936395,1.7742169193923474,129.5,30,0.0,420,25.0,0.007289476282210217,0.051460951419753674,277.5000000000002,0.2602783203125,325.92,-0.0014282656451541698,15.968714547157287
317440,0.002850291650520376,1.6948392920196056,127.75,31,1.3783574104309083e-08,421,25.0,0.009848149769095472,0.05250888099179921,275.0,0.1964599609375,315.45,-0.0013073209192953072,15.968717944622039
