P09:episode_rewards,episode_length,fps,policy_entropy,policy_gradient_loss,P01:episode_rewards,frames,q_loss,rollout_prob_std,grad_norm,policy_gradient_bias_correction,avg_q_retraced,model_prob_std,avg_q_selected,advantage_norm,explained_variance,policy_loss,PMM:episode_rewards,epoch_idx
0.0,3324.5,372,2.197201196352641,2.1693932939588952e-05,0.0,86400,2.373048240163674e-06,0.0006107837029655154,0.00034083251690767807,0.0,-0.00042110632736391075,0.0006107836990850047,-0.0004258371778026534,0.004522603804556032,-124.46504912376403,2.1693932939588952e-05,0.0,12
0.0,3324.5,381,2.1971787850062054,2.7601764699625165e-06,0.0,93600,3.7978824404187133e-06,0.0008866312932999183,0.0007707538092850098,0.0,-0.0002831285398315231,0.0008866312797181308,-0.000213727133662663,0.005794129800051451,-46.16212458610535,2.7601764699625165e-06,0.0,13
0.0,3324.5,389,2.1972044070561725,7.652461924105107e-06,0.0,100800,1.8837949426142587e-06,0.0005674310814356431,0.00034950699786164436,0.0,-0.0003336819386277057,0.0005674310746447493,-0.0003479351769783534,0.004446981606694559,-92.38921389579772,7.652461924105107e-06,0.0,14
0.0,3324.5,396,2.197127890586853,1.509354729023471e-05,0.0,108000,3.024802955072422e-06,0.001492797527074193,0.0007111391969437232,0.0,-0.0007238703935096661,0.0014927975125222778,-0.0007129111957813924,0.011784278062017014,-47.49972136815389,1.509354729023471e-05,0.0,15
0.0,3324.5,402,2.197201402982076,7.2514990051786295e-06,0.0,115200,1.2518639759188468e-06,0.0005132064485223964,0.0002843147976119605,0.0,-0.0004140888622108226,0.0005132064533730347,-0.0004169258963277874,0.0037144062283914537,-275.85195735295616,7.2514990051786295e-06,0.0,16
0.0,3324.25,403,2.1971571309793565,1.9384281489104225e-05,0.0,122400,2.3426794179666596e-06,0.0023080493008813983,0.0005226896905847269,0.0,-0.0005373532156157863,0.0012116737814346656,-0.0005489074149417797,0.010001018573955025,-26.455769854386645,1.9384281489104225e-05,0.0,17
0.0,3324.25,401,2.197205709275745,6.471289480736058e-06,0.0,129600,1.1702455414754086e-06,0.0034156272396868434,0.000265511397292459,0.0,-0.0003477432183093957,0.000597392243836357,-0.0003504835660143207,0.005015925498418732,-49.52859299504568,6.471289480736058e-06,0.0,18
0.0,3324.25,400,2.197209681896936,6.583397851141313e-06,0.0,136800,7.297730676379655e-07,0.0025416924562945034,0.00024394253238916796,0.0,-0.00037587750158438995,0.000571127878666009,-0.0003774343437763737,0.004590681190320681,-28.522020909975446,6.583397851141313e-06,0.0,19
0.0,3324.25,396,2.1972143236039177,8.171213858856483e-06,0.0,144000,4.892099443996328e-07,0.003305543155922697,0.00017911599423925178,0.0,-0.0003644083467105504,0.00046189294622645655,-0.00036582977717429575,0.003935009588268937,-59.96184980371641,8.171213858856483e-06,0.0,20
0.0,3324.25,395,2.1972165077640895,6.887725536292992e-06,0.0,151200,4.054159775879019e-07,0.002824609351059663,0.00015195958220198423,0.0,-0.00035803909617243345,0.00040099554128848085,-0.00036068687969606207,0.0035670073714624906,-529.2471846619296,6.887725536292992e-06,0.0,21
0.0,3324.25,392,2.19721580887483,9.680066730518511e-06,0.0,158400,4.0633033703603063e-07,0.002697197512103799,0.00017762911720148008,0.0,-0.00035076151100303594,0.00042906832961558256,-0.0003468463710729332,0.004085153208590446,-242.71388785591947,9.680066730518511e-06,0.0,22
