epoch_idx,grad_norm,explained_variance,fps,value_loss,P01:episode_rewards,policy_entropy,advantage_norm,P09:episode_rewards,episode_length,PMM:episode_rewards,frames,policy_loss
370,0.9625899614059291,0.6281074905395507,281,0.04374036595225334,25.0,1.0143577808141708,2.4427630734443664,86.10000000000001,1065.13,55.12,2960000,-0.01409045516862534
371,0.9377898638576515,0.6098219949007034,281,0.04345982488244772,26.900000000000002,1.0031968402862548,2.445777723789215,87.0,1089.12,56.73,2968000,-0.011525233493448467
372,0.8560376498776776,0.6230622637271881,281,0.04128573300782591,31.9,0.9839222192764282,2.3992995190620423,87.0,1094.39,57.78,2976000,-0.020472581734793494
373,0.780099541591325,0.6296912664175034,281,0.039854923556558786,32.9,1.0052851021289826,2.315853939652443,87.0,1094.5,58.58,2984000,-0.006250986394734355
374,0.8626067663267523,0.5698610424995423,281,0.04695516454987228,33.9,0.9757246136665344,2.5201254963874815,87.0,1084.26,58.71,2992000,-0.01713477989891544
375,0.8470876325064445,0.6327852046489716,281,0.04335721113719046,33.9,0.9577983444929123,2.436869056224823,87.0,1078.67,58.08,3000000,-0.019712897016434
376,1.8196900366433706,0.18670169353485108,281,0.1205146227357909,34.0,0.9962790524959564,3.104259330034256,87.50000000000004,1076.63,59.34,3008000,-0.017452454424928873
377,0.7010564742131479,0.6560017567873001,281,0.032827248726971445,34.0,1.006867253780365,2.1171966338157655,92.10000000000001,1082.16,59.47,3016000,-0.0072905847984657155
378,0.8437802579547362,0.595845929980278,281,0.04758888518903404,34.0,0.9980582803487777,2.5690299069881437,87.60000000000005,1076.42,59.57,3024000,-0.014119188084150665
379,0.8924151845776491,0.5789086562395096,281,0.04357895014807582,34.0,1.0253024232387542,2.4393289470672608,93.10000000000001,1070.66,59.74,3032000,-0.01008002891583601
380,0.7505093779301201,0.6566064780950547,281,0.03994346939492971,34.900000000000006,1.029048696756363,2.323206510543823,93.10000000000001,1075.26,60.41,3040000,-0.01284531768411398
381,0.7974092887220898,0.6475107848644257,281,0.04200290082488209,35.9,1.0258141350746155,2.3728309738636018,94.0,1095.94,60.93,3048000,-0.01929614153516013
382,0.7454121315948186,0.6443299967050552,281,0.03682447635568678,37.0,1.0465020197629928,2.2686586409807203,94.0,1109.1,60.11,3056000,-0.012059718309319577
383,0.7252296119951915,0.6991567939519883,281,0.035958353700116276,35.0,1.0468836975097657,2.202007194161415,94.0,1096.89,58.65,3064000,-0.012205344380781753
384,0.691208189872289,0.6919726425409317,281,0.036129454523324965,34.900000000000006,1.0333807158470154,2.2081839025020598,93.0,1092.43,57.16,3072000,-0.0148123904318345
385,0.6979954768399937,0.662461444735527,281,0.031189168435521424,34.900000000000006,1.0490379166603088,2.0713803577423096,90.30000000000003,1085.68,56.19,3080000,-0.008647372613631887
386,0.7669308679502975,0.6626369732618332,281,0.041118504186160865,33.0,1.0575237929821015,2.290592227578163,92.10000000000001,1104.74,57.08,3088000,-0.020437585136387496
387,0.9026178874922128,0.6641378968954086,281,0.0522949872771278,33.0,1.0516693538427353,2.5262098860740663,93.0,1119.07,57.43,3096000,-0.010662842731944693
388,1.4103993179548036,0.7626143646240234,281,0.05680230465251952,31.9,1.0386932915449143,2.69689378619194,93.10000000000001,1112.83,59.03,3104000,-0.014897133312770166
389,0.7425163915582886,0.6855437880754471,281,0.03520987565163523,30.900000000000002,1.0387189078330994,2.1888587826490404,93.0,1108.4,58.31,3112000,-0.016555215012813276
390,1.5921036739009156,0.6670038139820099,281,0.0846244870359078,29.0,1.017150821685791,2.970456793308258,90.20000000000002,1091.27,56.82,3120000,-0.02516699361069186
391,0.765958505807044,0.6838652169704438,281,0.03801994106266648,29.0,0.9839727342128753,2.2447177916765213,84.60000000000005,1095.87,56.31,3128000,-0.01388387639366556
392,0.8254536318530667,0.6719252985715866,281,0.041835575615987185,29.0,0.9832595306634903,2.3793998074531557,80.0,1082.82,54.09,3136000,-0.018071785185602495
393,0.7419115947428192,0.6950214463472366,281,0.038579602614045146,29.0,0.963748790025711,2.2283145886659623,80.0,1091.15,54.45,3144000,-0.022175296552159125
394,0.998247201496636,0.5715530002117157,281,0.05022833730559796,29.9,0.9488821597397328,2.453335800766945,80.40000000000003,1101.58,55.26,3152000,-0.009752822370210197
395,2.1186427368530807,0.678972853422165,281,0.12940220321528614,28.9,0.947009357213974,2.6759722459316255,80.40000000000003,1095.55,55.42,3160000,-0.008792435433133506
396,1.4392418923791057,0.6507975167036056,281,0.06766324976924806,29.9,0.8983527863025665,3.0259017300605775,87.10000000000001,1105.28,60.07,3168000,-0.019366928699892014
397,1.1254971321652407,0.6394456082582474,281,0.06066736956592649,30.0,0.9321738284826279,2.6448979532718657,87.10000000000001,1110.41,63.57,3176000,-0.021774877624120562
398,0.7086570802738137,0.6345357418060302,281,0.03727223769761622,30.0,0.9839772218465805,2.214435709118843,87.10000000000001,1104.54,63.93,3184000,-0.016971517908386885
399,2.615749585946875,-1.4413356584310533,281,0.4274030628614128,31.0,0.9811222434043885,3.578638731241226,96.90000000000008,1120.36,67.66,3192000,-0.020761849602859
400,0.8540440846644364,0.5506239676475525,281,0.04849277643952519,31.0,0.9403974738717079,2.4133641964197157,105.40000000000003,1103.01,67.51,3200000,-0.012590504757245071
401,0.7901188486880184,0.653997917175293,281,0.0394736721040681,31.9,0.9793443995714187,2.2513303619623186,89.40000000000012,1106.25,65.07,3208000,-0.016459093956218567
402,0.8366472821328581,0.6535182958841323,281,0.041930923592299225,33.0,0.941823017001152,2.3434445524215697,89.40000000000012,1112.55,65.32,3216000,-0.02559643312881235
403,0.7381044889693841,0.6525259393453599,281,0.04580666556954384,33.9,0.9480993437767029,2.4726270228624343,89.40000000000012,1111.12,65.92,3224000,-0.011880985146271996
404,0.6862503114606631,0.6435455316305161,281,0.03570006044115871,35.9,0.964815982580185,2.2113055849075316,90.30000000000011,1122.31,66.18,3232000,-0.009110885226982645
405,1.0063544737428722,0.6353268724679947,281,0.04257495017722249,34.900000000000006,0.9529242587089538,2.385128058195114,102.30000000000003,1129.13,66.89,3240000,-0.018361518696619897
406,1.839091728755541,0.705110655426979,281,0.08961634105071425,35.9,0.9350266295671463,3.1641675245761873,109.0,1147.97,72.52,3248000,-0.010724833346903323
407,1.1333711122821786,0.5503100782632828,281,0.07215428434312343,36.9,0.9476958167552948,2.609200094938278,110.50000000000004,1156.53,74.54,3256000,-0.013799656508490443
408,0.7807282295734466,0.6568230724334717,281,0.038239343510940674,36.9,0.9481279176473617,2.2525819301605225,110.50000000000004,1151.24,74.67,3264000,-0.016528614274793654
409,0.7735949192512466,0.6637236618995667,281,0.04311806093435735,36.9,0.972843986749649,2.340084445476532,109.10000000000001,1148.66,74.18,3272000,-0.023572821740308426
410,0.7709070256560863,0.671605526804924,281,0.039514645584858954,38.0,1.0201996564865112,2.270336159467697,109.0,1161.97,73.22,3280000,-0.014578112741291989
411,0.683030323994288,0.6597989177703858,281,0.03851072806864977,38.0,1.0061333602666855,2.235746954679489,105.30000000000003,1156.38,68.14,3288000,-0.012589291951735504
412,0.7868228928541793,0.6018337827920913,281,0.045917745218612256,38.900000000000006,0.9629337525367737,2.4645224523544313,105.30000000000003,1158.11,68.65,3296000,-0.012031969713571017
413,0.6317200894167009,0.6759551584720611,281,0.03219528503715992,39.0,0.9706267416477203,2.042158536314964,102.60000000000005,1159.79,68.58,3304000,-0.011437661979580299
414,0.6554471064925551,0.6478327107429505,281,0.0361617293395102,39.0,0.9917054563760758,2.1834707832336426,93.70000000000006,1166.7,67.25,3312000,-0.007041527559922542
415,0.7995592132956746,0.638947502374649,281,0.04975158721674234,39.9,1.0290754532814026,2.537085110545158,95.50000000000004,1177.7,68.39,3320000,-0.014241208099701908
416,0.7720413496057427,0.6488956964015961,281,0.04229575148783624,39.9,0.9922934448719025,2.2838590931892395,95.30000000000003,1177.14,69.03,3328000,-0.011175810929271392
417,0.7990772152732327,0.6079311048984528,281,0.043789731618016955,40.0,0.9592382383346557,2.3897485506534575,95.30000000000003,1184.61,70.3,3336000,-0.015136399017064832
418,0.9305518819036174,0.5857588076591491,281,0.04856848692521453,40.9,0.9856558746099472,2.5233122837543487,100.0,1203.38,71.91,3344000,-0.010205605369410477
419,0.820717807302963,0.683570384979248,281,0.04469099360052496,40.9,0.9787493032217026,2.367082122564316,100.90000000000008,1216.91,75.07,3352000,-0.014101208206266164
420,0.9433052177263942,0.6916152894496918,281,0.05620409186929464,41.0,0.9733529430627823,2.734490464925766,100.0,1217.8,75.02,3360000,-0.009370724020991475
421,0.840385991118024,0.6247796177864074,281,0.043830000529997054,41.0,0.9733953112363816,2.430052934885025,100.10000000000001,1231.9,76.63,3368000,-0.02166892333596479
422,0.8559053227600654,0.6446026414632797,281,0.04310008618980646,41.0,0.9741619426012039,2.3901443034410477,97.10000000000001,1215.63,73.44,3376000,-0.012784858794766478
423,0.8427516337302227,0.630930153131485,281,0.04154174621682614,40.9,0.9792050623893738,2.305618173480034,97.0,1226.33,74.01,3384000,-0.01446991872799117
424,0.7906724484146324,0.6737474024295806,281,0.03903574084397406,40.9,0.9650819391012192,2.2316755896806715,97.0,1227.23,74.09,3392000,-0.012963523602084024
425,0.9531972631870482,0.6371853965520858,281,0.053011194611899556,41.0,0.957033948302269,2.5598779678344727,97.10000000000001,1230.08,75.48,3400000,-0.025966949162539096
426,0.9200228064489694,0.67769187271595,281,0.046537961955182255,40.9,0.9859271186590195,2.401133198142052,97.10000000000001,1219.69,74.42,3408000,-0.017987786914454774
427,0.7575841613274997,0.639873885512352,281,0.04314114504959434,42.800000000000004,0.976823770403862,2.4024462991952897,98.20000000000002,1240.91,75.88,3416000,-0.00952561239246279
428,0.7008781281962214,0.6358493852615357,281,0.03581588413566351,42.800000000000004,0.9612489950656891,2.154040396809578,100.10000000000001,1244.55,75.78,3424000,-0.014985629508155398
429,1.7652008080452666,0.6379067921638488,281,0.11055273838806898,42.800000000000004,0.9622858822345733,2.924781748056412,101.40000000000003,1244.71,78.1,3432000,-0.02287563596473774
430,1.1403942548310597,0.640000866651535,281,0.06804411684162914,42.800000000000004,0.9705119413137436,2.8320486903190614,106.50000000000004,1253.04,80.98,3440000,-0.013566330743487924
431,1.0727109615930466,0.641970208287239,281,0.05358541407622397,44.8,0.9582800179719925,2.5423983466625213,111.20000000000002,1259.3,82.04,3448000,-0.01562308422056958
432,0.9108632605815872,0.645939684510231,281,0.04754979882389307,44.8,0.9727442878484726,2.535574929714203,113.20000000000002,1262.54,83.82,3456000,-0.01675939823806402
433,0.9229175214814981,0.6110209995508193,281,0.048696916233748194,44.8,0.9581558084487916,2.471132211089134,113.20000000000002,1267.45,84.68,3464000,-0.007918155837469385
434,0.8504086655656292,0.6369786524772644,281,0.04798031895421445,44.8,0.9749165308475495,2.490042186975479,115.30000000000003,1260.99,86.01,3472000,-0.019571985742077233
435,0.7786543006473774,0.6194580680131913,281,0.034140166467987,43.0,0.9801082348823548,2.135549002289772,115.30000000000003,1248.06,83.24,3480000,-0.013085863016312942
436,0.9690563683042739,0.6302191954851151,281,0.0586525496467948,43.0,0.9723042494058609,2.7326173812150953,115.30000000000003,1238.29,81.44,3488000,-0.02322843060246669
437,0.9317792382264026,0.6593958377838135,281,0.05283494470175356,45.0,1.012656448483467,2.5493504214286804,118.10000000000001,1249.27,82.95,3496000,-0.027815927354386077
438,1.0532412092357548,0.5559216523170472,281,0.06314289974980056,46.800000000000004,0.976362886428833,2.8459476125240326,120.10000000000001,1263.58,84.96,3504000,-0.02594643359305337
439,1.2278121758496123,0.7540365022420883,281,0.08510242382064462,48.8,0.974472833275795,3.059251869916916,141.4000000000003,1262.46,89.73,3512000,0.006192533976281993
440,1.4791323848465963,0.6023570823669434,281,0.13364065121859312,45.0,0.9606462079286575,3.4853220081329344,191.70000000000022,1267.14,93.31,3520000,-0.030356719664414413
441,1.530531838753056,0.4544854015111923,281,0.07672007436864078,43.0,0.9399831888824701,2.763836934566498,191.70000000000022,1247.07,92.77,3528000,-0.018560009117936715
442,0.834648345758147,0.6444287621974945,281,0.04106073750648648,41.5,0.9541085106134415,2.2403627932071686,191.70000000000022,1248.11,92.01,3536000,-0.013349077019665857
443,1.2062106426527444,0.6633707374334336,281,0.09652784266043454,37.900000000000006,0.9727818930149078,2.9428183484077453,191.70000000000022,1250.37,92.22,3544000,-0.011716896470170468
444,1.433337373512461,0.46673556089401247,281,0.11885064447764307,36.0,0.9223732206597924,3.260820842385292,183.60000000000008,1235.18,91.39,3552000,-0.02090549198212102
445,0.5385819098365107,0.6921869802474976,281,0.027259959646034986,34.6,0.9829764252901078,1.837360993027687,179.40000000000003,1210.38,86.64,3560000,-0.005477572380623314
446,1.1055225688292534,0.28369783103466034,281,0.06225768057629466,34.6,0.9154574327543378,2.777950673699379,174.50000000000006,1189.1,82.97,3568000,-0.0332525244967519
447,0.6994178714082168,0.6348631584644318,281,0.03509315373841673,28.0,1.036098445057869,2.0822417050600053,174.50000000000006,1151.35,79.41,3576000,-0.005303961093959515
448,0.6939333313587613,0.7046161758899688,281,0.03558473722077906,28.0,1.0193478572368622,2.1046191310882567,161.2000000000001,1142.21,75.39,3584000,-0.01559819046582561
449,0.9267743748605324,0.5264107233285904,281,0.050875646718777714,22.700000000000003,1.0487590605020523,2.59185977101326,161.2000000000001,1123.63,72.72,3592000,-0.010841596339741955
450,0.9198536243595268,0.6670489233732223,281,0.05185895198490471,22.700000000000003,1.0204166567325592,2.4427642691135407,142.00000000000017,1122.31,71.21,3600000,-0.009608874823898076
451,0.8303853850203449,0.6241286820173264,281,0.049187838342040775,22.700000000000003,1.0088982802629471,2.50118994474411,142.00000000000017,1110.62,70.29,3608000,-0.014604989664221649
452,1.1026210147881181,0.6044905090332031,281,0.07181727995630353,22.700000000000003,1.008250732421875,2.9987010353803636,139.10000000000002,1094.67,67.43,3616000,-0.007347608051568386
453,0.6488863022090581,0.69101114153862,281,0.033270962983369824,22.700000000000003,1.0295223301649095,2.041134934425354,104.60000000000005,1084.94,62.03,3624000,-0.009712142748321639
454,1.0876355648049325,0.6439281177520751,281,0.053582901530899105,22.700000000000003,1.0189172327518463,2.623821340203285,102.20000000000002,1093.84,61.71,3632000,-0.022653838617916335
455,0.6646020227495028,0.666266930103302,281,0.032520681857131424,24.799999999999997,1.0228590279817582,2.0896242600679398,102.20000000000002,1100.63,62.27,3640000,-0.010155603798630182
456,0.817344183406652,0.651175234913826,281,0.043113665976561605,25.9,0.9802312934398651,2.3641470849514006,104.20000000000002,1119.39,64.62,3648000,-0.007759445077972486
457,0.9074082904353957,0.5771285414695739,281,0.05398672914132476,25.9,0.9944249135255814,2.593200687170029,104.20000000000002,1107.63,64.81,3656000,-0.009405648170941276
458,0.8246122006988555,0.6531938910484314,281,0.04400372056290507,25.9,1.0159763771295547,2.334828755259514,117.40000000000003,1120.65,65.91,3664000,-0.01834391066338867
459,1.1090134004968941,0.6945988613367081,281,0.07317491087596864,28.7,0.9946464329957962,2.8773306035995483,126.10000000000001,1144.49,70.2,3672000,-0.02055534221814014
460,0.8643287029450653,0.6518249011039734,280,0.04605126843322069,28.7,1.0533220177888871,2.394458003640175,127.10000000000001,1154.95,72.02,3680000,-0.02176568633003626
461,0.8136148276182992,0.5972929066419601,280,0.04737859643064439,28.7,1.041123867034912,2.491170542240143,127.10000000000001,1154.8,72.0,3688000,-0.013733971515321172
462,0.6986659085840035,0.6877435058355331,280,0.03915518985129893,31.8,1.0249850797653197,2.215752112865448,127.10000000000001,1183.91,74.25,3696000,-0.007976846940582618
463,0.8372622201763801,0.6740473198890686,280,0.051289720856584606,35.9,1.0461217546463013,2.4885384154319765,129.00000000000009,1202.95,78.6,3704000,-0.012655285459186417
464,1.1504520230689788,0.6232759308815002,280,0.052048667785711586,36.0,1.043985711336136,2.665362266302109,129.00000000000009,1221.44,81.04,3712000,-0.02487193813547492
465,1.1387362474579554,0.675960875749588,280,0.06058970507699996,36.0,0.9999462926387787,2.580091029405594,129.00000000000009,1221.72,82.54,3720000,-0.007278062039986253
466,0.9382957729362092,0.6146545565128326,280,0.04911229110322893,37.0,1.0246377205848693,2.512352485060692,127.10000000000001,1223.57,82.48,3728000,-0.023187028473475948
467,0.8242611963026545,0.6582727485895157,280,0.04045409482438117,37.0,1.036442985534668,2.2816806465387343,128.80000000000007,1221.91,82.99,3736000,-0.01900983626870584
468,0.9670606292297955,0.6143721038103104,280,0.06266473895404488,35.0,1.0146836149692535,2.681098549365997,128.80000000000007,1227.09,81.68,3744000,-0.026350082585704513
469,1.0310371770358648,0.6960956531763077,280,0.06051174661144614,37.7,1.038584098815918,2.701810846328735,128.80000000000007,1235.39,84.02,3752000,-0.02427985987334978
470,1.3133750075078814,0.5780626171827317,280,0.10133796200156212,38.0,1.0353700697422028,3.2233928346633913,136.9000000000001,1249.22,85.67,3760000,-0.012809218309703283
471,0.8014199887492999,0.6421029782295227,280,0.04610511037986725,38.0,1.0424359053373338,2.3244233548641207,145.2,1242.31,87.06,3768000,-0.013868736570002512
472,0.6381667323414585,0.6695093429088592,280,0.03746214740443975,38.0,1.061607422232628,2.1402287060022354,145.2,1247.04,87.22,3776000,-0.011224619189742952
473,1.0394661198992523,0.6582766449451447,280,0.06568948130123317,38.0,1.0509242242574692,2.851151430606842,145.2,1247.37,86.04,3784000,-0.011852714335691416
474,1.7056766130714864,0.8058138173818589,280,0.12227290757931769,40.7,1.0160383367538453,3.533744136095047,164.6000000000004,1254.29,90.8,3792000,-0.0092167642316781
475,1.1297677448432675,0.6986583691835403,280,0.06842632774729282,41.0,1.0066035842895509,2.6783469235897064,206.10000000000002,1268.06,93.24,3800000,-0.01292116340890061
476,1.1498862094671254,0.5507800334692001,280,0.08976657602470368,41.0,0.9798911041021348,2.937483094930649,206.10000000000002,1266.88,94.67,3808000,-0.0031969957705587147
477,1.1219884006253897,0.6091099458932877,280,0.08718880551401526,41.0,1.0173557943105698,2.837624874711037,209.4000000000002,1268.65,97.72,3816000,-0.017554708503885196
478,1.4049169580749006,0.7448859250545502,280,0.0877637414354831,41.0,1.007788769006729,3.1002512443065644,209.4000000000002,1267.61,97.74,3824000,-0.015614179198310011
479,1.0996006125429783,0.6557086998224259,280,0.08039196980185807,41.0,0.9837078458070755,3.0813020873069763,231.30000000000004,1281.17,101.94,3832000,-0.02101291812345153
480,0.8779058853442226,-0.02048904776573181,280,0.04278597146738321,2.9000000000000004,0.921073469221592,2.3162682962417604,191.60000000000014,1001.44,77.44,3840000,-0.023892208855249918
481,0.7492044622032016,0.5915461641550064,280,0.02961295975605026,1.0,1.023764117360115,1.9788874530792235,172.90000000000018,878.23,66.52,3848000,-0.002926045294152573
482,0.8164125799790909,0.6569406497478485,280,0.03893673399928957,1.0,0.9972460472583771,2.2613234466314314,172.90000000000018,850.99,64.56,3856000,-0.01889979325409513
483,1.1566719032040433,0.6781009727716446,280,0.07213787727057934,1.0,0.9815555256605148,2.759564265012741,135.90000000000032,838.23,61.91,3864000,-0.01827586079365574
484,0.7843384067451008,0.6554316800832748,280,0.044000461823306976,1.0,1.0166667211055755,2.420397496819496,111.50000000000004,821.13,54.9,3872000,-0.011757342512719333
485,1.049163077310144,0.6949103838205337,280,0.05861443265341222,1.0,1.0083398413658142,2.6480714112520216,116.0,810.68,54.23,3880000,-0.010046212228480726
486,0.7596429792872219,0.6421072196960449,280,0.04200787952169776,1.0,1.001225197315216,2.3021423238515855,111.30000000000003,795.88,51.67,3888000,-0.01093989604851231
487,1.0579472900872446,0.580443587899208,280,0.07598819704260677,1.0,1.0163503748178482,2.706640512943268,105.90000000000008,784.89,49.66,3896000,-0.016286397915682756
488,1.0463224085624154,0.6329920119047165,280,0.07939381835050881,1.0,1.0393253135681153,2.89086333155632,105.90000000000008,797.78,48.31,3904000,-0.030053786795469932
489,0.7056657367842459,0.6963569664955139,280,0.035726364501751956,1.0,1.0560089504718781,2.1072675335407256,102.20000000000002,793.46,46.88,3912000,-0.016340095351479247
490,0.7837931322008632,0.6573641335964203,280,0.03958531888667494,1.0,1.0367268013954163,2.2232858127355577,102.20000000000002,809.37,48.13,3920000,-0.019467563265934587
491,1.0850659388789978,0.6792714649438858,280,0.06364436435513199,1.0,1.0447114324569702,2.847459120750427,115.1000000000001,878.24,57.36,3928000,-0.01035860036223312
492,0.7787303871114191,0.6824271827936172,280,0.03630605457816273,1.0,1.0384519851207734,2.1344464880228045,115.1000000000001,916.24,60.23,3936000,-0.017595229804719566
493,1.0484459054838822,0.686611401438713,280,0.0628032689075917,2.0,0.9724382865428924,2.7007465386390686,126.30000000000011,966.11,65.81,3944000,-0.01600906413208577
494,1.282403677125222,0.638802855014801,280,0.1024462050688453,10.600000000000001,0.9976838368177414,3.171643187403679,138.50000000000006,1053.28,73.42,3952000,-0.020509232593612977
495,0.8001446080972954,0.6832351946830749,280,0.042705363496206704,25.0,0.9787630033493042,2.2946723383665084,138.50000000000006,1124.5,78.23,3960000,-0.017281222987221553
496,0.9077531846404991,0.6180889886617661,280,0.05023840670473874,34.0,0.9608229768276214,2.5738128632307054,138.50000000000006,1187.73,82.76,3968000,-0.009647409851604607
497,1.41431180858827,0.680506425499916,280,0.11208041698671878,38.900000000000006,1.0122336256504059,3.200144820213318,177.2,1217.78,88.95,3976000,-0.008540666742483154
498,0.7079910275389989,0.6910882246494293,280,0.039805111647583546,38.900000000000006,1.0048026520013809,2.192166293859482,177.2,1223.73,89.65,3984000,-0.017728768774541093
499,1.0953018017189782,0.6044535648822784,280,0.06166554668918252,44.8,0.9933307415246964,2.7443176090717314,146.40000000000032,1240.37,89.71,3992000,-0.02285593939886894
500,0.9519065893243598,0.632786078453064,280,0.05451581844128668,44.8,0.9940270346403122,2.4404907715320587,146.40000000000032,1240.37,89.44,4000000,-0.016232545544626192
501,1.342863572477074,0.6626535546779633,280,0.10588728643022477,45.0,0.9659401762485504,3.297992193698883,177.2,1245.78,92.6,4008000,-0.02017326170098386
502,0.8800305410856366,0.6487489312887191,280,0.048405441257636996,45.0,0.9643262881040573,2.4098038524389267,146.40000000000032,1253.28,92.5,4016000,-0.013648966603386724
503,1.0200778004389481,0.6768464833498001,280,0.06218577437568456,46.800000000000004,0.9750533229112626,2.6294842308759687,131.30000000000013,1260.05,93.17,4024000,-0.011270911177125526
504,1.341693036030119,0.7301733088493347,280,0.09891536213457584,46.800000000000004,1.0037764358520507,3.339707105755806,214.10000000000008,1259.5,98.24,4032000,-0.010213317389716394
505,1.0354025983555921,0.5545271670818329,280,0.05201150791719556,45.0,0.9812354698777199,2.5154665422439577,214.10000000000008,1247.08,98.04,4040000,-0.02190937985666096
506,0.7551492479756707,0.6188041180372238,280,0.03794512634864077,45.0,1.002845384478569,2.1856758046150206,195.90000000000015,1244.89,96.42,4048000,-0.011949774878157769
507,0.8982195198783366,0.6820678406953812,280,0.05419779054820537,45.0,0.9939384078979492,2.4186251479387284,195.90000000000015,1244.86,95.4,4056000,0.0052104674885049464
508,1.3389270455752211,0.5738398617506028,280,0.10434617529623211,47.0,0.9915582400560379,3.3711941695213317,214.10000000000008,1253.65,100.37,4064000,-0.031173495949697098
509,0.9951391627266257,0.6482034277915955,280,0.053120424817316235,49.699999999999996,0.9656515949964524,2.529676406979561,214.10000000000008,1259.43,100.78,4072000,-0.015598566159314941
510,1.561352943855138,0.5976099282503128,280,0.13091572489589454,47.0,0.9780622750520707,3.5245161056518555,210.3,1262.66,102.69,4080000,-0.021782952352659778
511,1.2936631762885489,0.6111322021484376,280,0.10021304232068359,51.5,1.0275588977336882,3.293799912929535,228.9000000000001,1284.22,110.62,4088000,-0.0051469914706012785
512,1.2666268303397068,0.7706825357675552,280,0.09024060787633062,51.5,1.0022910219430923,3.2298081243038177,237.80000000000007,1291.53,114.44,4096000,-0.012556240629055537
513,0.869564591288521,0.6484048116207123,280,0.05354215476196259,53.900000000000006,0.9837767618894577,2.53188645362854,237.80000000000007,1309.79,117.52,4104000,-0.013555298926657997
514,1.0830256905843212,0.7729704463481903,280,0.08359934740699827,53.900000000000006,0.987058345079422,2.8692021942138672,243.20000000000005,1311.47,118.31,4112000,-0.013822446780395695
515,1.0594693349969977,0.5765985113382339,280,0.07139439209364355,53.900000000000006,0.9930123084783554,2.994442796111107,245.40000000000003,1328.68,121.86,4120000,-0.02279898225242505
516,0.8951851663322892,0.698399001955986,280,0.05975691413506865,52.9,0.9861405605077743,2.564137524962425,245.40000000000003,1313.86,122.07,4128000,-0.025064687988196964
517,0.8734135219577505,0.6353152287006378,280,0.046219452903606,52.9,1.0259025311470031,2.432682617902756,245.40000000000003,1313.43,118.37,4136000,-0.01744060590630397
518,1.0262742813446837,0.741364157795906,280,0.06801616627722978,51.8,1.0292398238182068,2.860168325304985,250.00000000000006,1309.06,119.42,4144000,-0.009863225893932395
519,0.9419900903842973,0.6346893304586411,280,0.05449261750560254,49.9,1.0367275035381318,2.4471857213973998,245.40000000000003,1310.77,117.87,4152000,-0.027913577901317696
520,0.8785413811768086,0.6463673037290573,280,0.0482474478892982,47.7,0.9917918223142624,2.3553689664602278,243.20000000000005,1297.3,112.57,4160000,-0.020827373252250255
521,0.9128255071905006,0.6409043550491333,280,0.048902687528170646,45.900000000000006,0.9412861967086792,2.47029546380043,243.20000000000005,1298.1,111.51,4168000,-0.018429075681924586
522,1.3138736586617492,0.712710382938385,280,0.09630691293627024,49.9,1.0185449475049972,3.2429735445976258,246.3,1321.96,118.19,4176000,-0.02624310410115868
523,0.5946003025640844,0.6962485307455063,280,0.030584783786907793,49.9,1.0263003146648406,1.931412368416786,246.3,1329.07,116.89,4184000,-0.012720040650747251
524,1.02282949973655,0.6784337532520294,280,0.07574215990491212,51.8,0.9982044565677642,2.905273345708847,246.3,1334.29,119.41,4192000,-0.011686611993354745
525,0.7096638031852227,0.6451825052499771,280,0.04265502502210438,51.8,1.0222537410259247,2.2430747371912,243.30000000000004,1344.33,117.48,4200000,-0.013250660257181152
526,0.8941170728888318,0.5619719254970551,280,0.08092445842921733,51.8,1.0289709359407424,2.669806969165802,230.4000000000001,1351.6,118.0,4208000,-0.018690416970057414
527,0.874295786916185,0.6529121261835098,280,0.0634583096858114,52.9,1.0220594525337219,2.6855549389123916,230.4000000000001,1356.68,115.95,4216000,-0.022175194924056996
528,1.0769706468914455,0.6929179775714874,280,0.05997978620696813,52.9,1.009251971244812,2.8066062223911286,216.40000000000015,1369.7,115.68,4224000,-0.019230804922408425
529,1.1216416883735683,0.6740543752908706,280,0.07437380262184888,52.9,1.0045685768127441,2.846775144338608,216.40000000000015,1372.55,115.12,4232000,-0.020893883593234932
530,0.9249722486753867,0.5718599116802215,280,0.057544995392672715,49.0,1.0023273515701294,2.4432746744155884,200.60000000000014,1350.94,111.63,4240000,-0.014055330541596049
531,0.8570033860495468,0.6578822845220565,280,0.051100174887105825,49.0,1.0290185832977294,2.4443270540237427,200.60000000000014,1351.64,111.19,4248000,-0.022313119384489256
532,1.6772263621561692,0.598825660943985,280,0.2202737430855632,47.8,0.9836921599507332,3.503795329332352,200.60000000000014,1337.88,109.5,4256000,-0.00991857617336791
533,0.8124783692324574,0.6771268576383591,280,0.049025969249196354,47.8,1.0095780616998673,2.2807577323913573,215.10000000000002,1351.51,112.14,4264000,-0.020763807693729177
534,0.6732214894469775,0.6909240061044692,279,0.04455851577222347,48.0,1.0241458892822266,2.238656735420227,215.10000000000002,1358.06,113.09,4272000,-0.01732460752449697
535,1.0421757478301048,0.6025606203079223,279,0.06875294925179333,48.0,1.0274364459514618,2.9346875590085983,215.10000000000002,1381.68,113.6,4280000,-0.030978420056053436
536,0.7969138735726033,0.6247936207056045,279,0.04862686924636364,47.8,1.0332872867584229,2.4551376277208328,215.10000000000002,1376.78,113.68,4288000,-0.010775637816404924
