frames,P09:episode_rewards,P01:episode_rewards,PMM:episode_rewards,epoch_idx,policy_loss,grad_norm,advantage_norm,approx_kl_divergence,episode_length,policy_entropy,fps,clip_fraction,explained_variance,value_loss
235520,677.5000000000002,222.5,437.75,23,-0.008194627303964808,2.0165312230222603,15.968719118833542,0.0023565347763454363,416.48,1.6967572055757045,230,0.1499267578125,0.870752626284957,0.11657145924400539
245760,700.0,225.0,459.0,24,-0.008039748165174387,2.3832314482644654,15.968719148635865,0.002198886434098614,423.75,1.708772388845682,230,0.139892578125,0.9082954566925764,0.10650957806501538
256000,675.0,225.0,435.0,25,-0.007966686820691394,2.9017037436428206,15.96871907711029,0.002156899698684665,412.87,1.7220081716775895,231,0.1359619140625,0.8526511158794164,0.17325944991316647
266240,675.0,225.0,443.5,26,-0.008045202353241621,2.2658140930508246,15.968719267845154,0.0019779424799256234,413.32,1.7234823264181613,231,0.1228515625,0.7996696479618549,0.165408556885086
276480,675.0,225.0,428.25,27,-0.008939420060050907,2.145769178825348,15.96871908903122,0.0021466767326845213,408.41,1.7176308430731297,232,0.1358642578125,0.8466214157640934,0.12195384979713708
286720,675.0,200.0,425.75,28,-0.009562544776053982,1.900447516183182,15.968719267845154,0.002276057246570259,404.42,1.7272641718387605,232,0.1433837890625,0.7982227738946677,0.1228525135666132
296960,677.5000000000002,200.0,425.5,29,-0.009678473082385609,2.005325780257883,15.968719363212585,0.0024063646174457233,412.74,1.7184987932443618,232,0.1459228515625,0.8103468954563141,0.11911192971747368
307200,700.0,200.0,417.0,30,-0.008964685296814424,2.1787037298844067,15.968719267845154,0.0022665695422804917,418.68,1.706340766698122,233,0.1435791015625,0.7951553724706173,0.13691277378238736
317440,675.0,197.5,403.75,31,-0.009490812173316954,2.2543211787225497,15.96871930360794,0.0021126113497305756,416.37,1.7098997488617897,233,0.134326171875,0.7929765120148659,0.14681297298520804
327680,677.5000000000002,200.0,402.5,32,-0.009877661203427123,1.9579476802382145,15.968719148635865,0.0025890184183939187,424.49,1.7004888191819192,233,0.163427734375,0.8276440095156431,0.1423028673743829
337920,677.5000000000002,200.0,405.0,33,-0.00964332786970772,1.951029999536572,15.968719267845154,0.0020011844565945513,421.02,1.7004963621497153,233,0.11767578125,0.7414481233805418,0.14490737509913743
348160,675.0,200.0,409.75,34,-0.010471996322303312,1.9249105158688138,15.968719244003296,0.0022116369401604286,417.01,1.7032640613615513,233,0.137548828125,0.782649739459157,0.1267115662107244
358400,700.0,175.0,407.25,35,-0.00993197853822494,1.97746058454976,15.968719297647477,0.002181191975103327,419.63,1.7099482700228692,234,0.1378173828125,0.8324225742369891,0.12434614051599055
368640,675.0,175.0,414.0,36,-0.009587446860678028,2.016316057015521,15.968719100952148,0.002258737763122838,414.96,1.7024553149938584,234,0.1439453125,0.8741318564862013,0.12420371929183602
378880,680.0000000000003,225.0,431.0,37,-0.009788320145889883,1.9950906112947986,15.968719315528869,0.0020182085086733843,420.93,1.696655285358429,234,0.1259033203125,0.8017307359725236,0.15838661740999668
389120,675.0,225.0,442.0,38,-0.009678530990640866,2.187382285776556,15.96871920824051,0.0022886656323638085,423.46,1.6989778965711593,234,0.1410888671875,0.8499986253678798,0.1514505298808217
399360,727.5000000000002,250.0,486.5,39,-0.010045305494350032,1.9350927032828207,15.968719220161438,0.0020634016842453282,435.41,1.6937740869820117,235,0.1298583984375,0.8982890836894513,0.1226988279260695
409600,750.0,272.5,488.25,40,-0.011692683497312829,2.1422493087201087,15.96871913075447,0.00259404276221206,446.44,1.6972761735320092,235,0.1658447265625,0.8560134422034025,0.1511322730919346
419840,725.0,250.0,488.0,41,-0.010226921587309335,2.633998386766383,15.968719416856766,0.002139302884598075,445.71,1.7002346798777581,235,0.1364990234375,0.84841322414577,0.18969785838853567
430080,725.0,247.5,480.75,42,-0.010106621282466222,2.219653789168619,15.968719267845154,0.002084474424759997,447.71,1.6967710249125958,235,0.129443359375,0.8376502230763435,0.18920859501231463
440320,725.0,225.0,456.5,43,-0.01192444136904669,2.127813386599862,15.968719387054444,0.002364966793072951,443.88,1.6969199515879154,235,0.149072265625,0.8831464268267155,0.13210859042592346
450560,725.0,225.0,454.25,44,-0.011168422783521237,2.1040922435916363,15.968719232082368,0.0022618133119525104,435.56,1.6940993636846542,235,0.1427490234375,0.9064653556793928,0.11354088375810534
460800,725.0,250.0,477.75,45,-0.011156227703031618,2.072589078394501,15.968719238042832,0.002138099288004317,445.07,1.6936582773923874,235,0.1322509765625,0.8941909831017256,0.1273877045372501
471040,725.0,275.0,466.5,46,-0.01023426300707797,2.4524044610686366,15.968719363212585,0.002099805451917133,440.88,1.683854164928198,235,0.1277099609375,0.8378597892820835,0.17628781215753406
481280,725.0,275.0,503.25,47,-0.01109181347746926,1.8447205708427241,15.96871924996376,0.002474275913596389,453.31,1.68949855864048,235,0.1556640625,0.8838539913296699,0.1188810322782956
491520,750.0,275.0,510.25,48,-0.011158704105946526,1.7785225257097097,15.968719357252121,0.0020442167982426245,457.91,1.706038174033165,235,0.1240234375,0.9056568905711174,0.10848375451751054
501760,727.5000000000002,275.0,510.0,49,-0.01017707350292767,1.9210001795997311,15.968719255924224,0.0022832038680919995,463.42,1.7113708980381488,235,0.1405029296875,0.8676345635205507,0.17152966214343907
512000,727.5000000000002,275.0,509.25,50,-0.011036302419597632,1.8547804516476596,15.968719345331191,0.0020589169138932385,462.77,1.7086096383631229,235,0.1290283203125,0.8692181468009949,0.14373762160539627
522240,750.0,200.0,518.0,51,-0.008279011279955738,2.3846357184030644,15.968719404935836,0.0018589626740097612,456.69,1.7132814660668374,235,0.114453125,0.7830606635659934,0.2211373321712017
532480,750.0,200.0,506.25,52,-0.010502664943487616,2.0168024486256586,15.968719244003296,0.0028947697269589728,453.52,1.6953950464725493,235,0.14208984375,0.8296677161008119,0.1484431518241763
542720,775.0,200.0,522.25,53,-0.012966961825441103,1.8986338479457399,15.96871926188469,0.002552976891161328,459.04,1.6844370611011983,235,0.1580078125,0.9003263588994741,0.10753173232078553
552960,775.0,225.0,539.75,54,-0.009958461525820894,2.264608276774292,15.968719226121902,0.0020143105486115894,465.59,1.6992688290774822,235,0.1240966796875,0.8253343589603901,0.18007595089729875
563200,800.0,250.0,516.25,55,-0.011372757805656875,1.8900989077952002,15.968719166517257,0.0021684543535573503,462.55,1.6981022939085961,235,0.133544921875,0.8746958583593368,0.14158496032468976
573440,800.0,275.0,546.25,56,-0.011732574894995195,1.9481959737551358,15.968719238042832,0.0024399652245167937,473.89,1.692791585624218,236,0.1515869140625,0.9043466068804265,0.12058619684539736
583680,800.0,275.0,553.0,57,-0.012560794777527917,2.009658061207252,15.968719297647477,0.0023384453312703954,467.72,1.6947950206696987,236,0.1526611328125,0.9017431981861591,0.11988882063888014
