q_loss,avg_q_retraced,avg_q_selected,policy_gradient_bias_correction,policy_gradient_loss,P01:episode_rewards,policy_entropy,frames,advantage_norm,fps,grad_norm,epoch_idx,rollout_prob_std,explained_variance,policy_loss,episode_length,PMM:episode_rewards,model_prob_std,P09:episode_rewards
3.6589230783571717e-06,0.001872344547882676,0.0018834179480715343,0.0,-4.0148187205583476e-05,0.0,2.197089703877767,79200,0.015186499152332545,415,0.0009362704674263536,11,0.00170426117159271,-6.293941672643026,-4.0148187205583476e-05,3324.8333333333335,0.0,0.00170426115898105,0.0
7.913545630344742e-07,0.0006529978748100499,0.0006739243806805461,0.0,-2.611322313252155e-05,0.0,2.197199821472168,86400,0.006107807671651244,420,0.0004509453966151229,12,0.0006584671869253119,-9.655827172597249,-2.611322313252155e-05,3324.8333333333335,0.0,0.0006584672043876102,0.0
2.870414991207326e-06,9.747510151404034e-05,0.00019060251664389702,0.0,-4.086269248091412e-05,0.0,2.197171934445699,93600,0.00726087373526146,425,0.0011730520978475206,13,0.0008873642102116719,-14.662374687194824,-4.086269248091412e-05,3324.8333333333335,0.0,0.000887364258718056,0.0
1.8422532377826428e-06,0.0004953498165074659,0.0004910299097749278,0.0,-4.78211950394325e-06,0.0,2.197192732493083,100800,0.007108047309642037,430,0.0007769105821108524,14,0.0007286611536983401,-11.911090262730916,-4.78211950394325e-06,3324.8333333333335,0.0,0.0007286611643697445,0.0
2.4112868809803936e-06,0.0011734989219500372,0.0012498371012043207,0.0,-5.656889143210719e-05,0.0,2.19713400999705,108000,0.012614188203588127,434,0.0007546318805737673,15,0.0014563857888182004,-7.416889158884684,-5.656889143210719e-05,3324.8333333333335,0.0,0.0014563857946389665,0.0
6.991628770454857e-07,0.0005811877325565244,0.0005897291868071382,0.0,-1.491099523415566e-05,0.0,2.1971977233886717,115200,0.005105088721029461,437,0.00032978291102714785,16,0.000616514571205092,-6.5436625480651855,-1.491099523415566e-05,3324.8333333333335,0.0,0.000616514592547901,0.0
2.08715029334003e-06,0.0008327446762314859,0.0008334593087160361,3.333316889048936e-08,-1.7472499434767368e-05,0.0,2.197149707022168,122400,0.011597070450421484,436,0.0006717899119903019,17,0.002218667485535011,-7.429014575822013,-1.743916626598515e-05,3324.472222222222,0.0,0.001295124024470588,0.0
8.133388063398462e-07,0.0004104763745555021,0.0004044383107063209,3.6704599232334224e-07,-5.4583610227925615e-06,0.0,2.1972034502691695,129600,0.005861760741349176,428,0.0003761138197761841,18,0.0029507274926251583,-8.895104916994534,-5.091315019479492e-06,3324.472222222222,0.0,0.0006604751908081299,0.0
5.753809055497253e-07,0.00043831151700740324,0.0004487476992284111,7.813926065373669e-08,-1.5148050165831837e-05,0.0,2.1972090782911056,136800,0.0052453657414021325,422,0.0003269635344102489,19,0.0032598832544912474,-8.805767266050218,-1.5069910911963219e-05,3324.472222222222,0.0,0.0005916970946805483,0.0
3.8858872197181226e-07,0.00035853249974028453,0.0003563240725932564,6.655371870050204e-08,-8.09215470410645e-06,0.0,2.1972125109939866,144000,0.004744009666381346,415,0.00023192841455287616,20,0.0031868050190491967,-7.997254843784675,-8.025601017579453e-06,3324.472222222222,0.0,0.0005140336352620888,0.0
3.467866113551633e-07,0.0003631047340570062,0.0003607657377910477,-6.467297175621271e-08,-6.847887785687206e-06,0.0,2.197213458390463,151200,0.004661238020080852,411,0.00022349515688983298,21,0.003977841231686427,-7.56233715244702,-6.91256076350277e-06,3324.472222222222,0.0,0.00047888955197863866,0.0
