P01:episode_rewards,q_loss,grad_norm,P09:episode_rewards,model_prob_std,advantage_norm,policy_gradient_bias_correction,episode_length,policy_loss,avg_q_selected,policy_gradient_loss,explained_variance,frames,epoch_idx,avg_q_retraced,policy_entropy,rollout_prob_std,fps,PMM:episode_rewards
0.0,3.3550231781494705e-06,0.0011557663257360002,0.0,0.00188940244843252,0.015353524265810848,0.0,3324.5833333333335,3.239009991489184e-05,-0.0017152108019217848,3.239009991489184e-05,-4.838031641642252,79200,11,-0.0017370069089035192,2.1970696369806926,0.0018894024076871573,427,0.0
0.0,1.2020135121323012e-06,0.0009093673033709243,0.0,0.0010537640696081023,0.008187263008827965,0.0,3324.5,4.050044148774153e-05,-0.00133095282362774,4.050044148774153e-05,-8.309589751561482,86400,12,-0.001326351760265728,2.1971742073694864,0.0010537640482652932,431,0.0
0.0,5.2713996372707095e-06,0.0025470597195099225,0.0,0.001465219984917591,0.009828308302288254,0.0,3324.5,5.594113616401349e-05,-0.0030082300305366515,5.594113616401349e-05,-14.213939714431763,93600,13,-0.003006926068337634,2.197044857343038,0.0014652199868578463,437,0.0
0.0,2.745848595016772e-06,0.0010403933706392484,0.0,0.001013138407142833,0.009230554693688948,0.0,3324.5,5.431794754713337e-05,-0.001728353346697986,5.431794754713337e-05,-11.482894007364909,100800,14,-0.0017020284353444974,2.1971728563308717,0.0010131383838597684,442,0.0
0.0,2.256168069910321e-06,0.0008360384461827272,0.0,0.0014563675756411006,0.012441278124849001,0.0,3324.5,1.6061195913152916e-05,-0.0012256669152217606,1.6061195913152916e-05,-4.822651735941569,108000,15,-0.0012556980984906355,2.197136330604553,0.0014563675368359933,445,0.0
0.0,9.477068838729489e-07,0.00045967419361476124,0.0,0.0008296486514154822,0.006547889470433195,0.0,3324.5,3.647947292885571e-05,-0.0014862691711944839,3.647947292885571e-05,-5.386951319376627,115200,16,-0.0014841852438015242,2.197192637125651,0.0008296486281324178,450,0.0
0.0,1.9159711185526975e-06,0.0007122765588763662,0.0,0.0012555504551590988,0.010930984154622018,-7.090773357607537e-07,3324.9166666666665,5.8805847996030705e-05,-0.0012400501277501001,5.951492534237818e-05,-5.306262052576377,122400,17,-0.0011778867427628026,2.197157777440611,0.00240376852290913,448,0.0
0.0,1.0383742343607977e-06,0.0004891074219530565,0.0,0.0007913781915261305,0.006595696120106532,-1.782421771978714e-07,3324.9166666666665,3.0119841624737514e-05,-0.0011640910895656185,3.0298083838423193e-05,-4.856897074927098,129600,18,-0.0011501559703747885,2.1971941298467144,0.005211612237103437,439,0.0
0.0,5.72190159566671e-07,0.0003709322369946902,0.0,0.0006650559902578442,0.0051888707358077185,-2.779068809681958e-07,3324.9166666666665,3.4918663170051406e-05,-0.0011993934993797522,3.519657001528945e-05,-3.5200111011317166,136800,19,-0.0011828352201720157,2.1972049518520866,0.005190275223926017,432,0.0
0.0,3.1025959708302177e-07,0.0002338392830836318,0.0,0.000492690691853231,0.004127117472672441,-3.086442235193379e-08,3324.9166666666665,1.7804223475534943e-05,-0.0006345301438610746,1.783508791533935e-05,-2.800767314747843,144000,20,-0.0006233383018223793,2.1972140613087903,0.00416406438564322,426,0.0
0.0,2.433443686778597e-07,0.00020247605547009067,0.0,0.0004349179863614457,0.00361950101631154,3.066944953703891e-08,3324.9166666666665,1.0996924604789287e-05,-0.0005015027549361259,1.0966255171929278e-05,-2.8741266307092848,151200,21,-0.0005025665274713122,2.1972161334279985,0.004478443519771052,419,0.0
