explained_variance,PMM:episode_rewards,episode_length,grad_norm,P01:episode_rewards,epoch_idx,model_prob_std,policy_loss,policy_gradient_bias_correction,rollout_prob_std,P09:episode_rewards,fps,policy_gradient_loss,avg_q_selected,q_loss,advantage_norm,avg_q_retraced,frames,policy_entropy
-4.066592295964559,0.0,3324.8333333333335,0.001500178321064299,0.0,11,0.005324334899584452,0.00010586144071567105,0.0,0.005324334814213216,0.0,460,0.00010586144071567105,-0.00011876683638547547,9.77368938682351e-06,0.029833771164218585,2.0313678032835013e-05,79200,2.1959919611612957
-4.5328716278076175,0.0,3324.3333333333335,0.0008103330232120958,0.0,12,0.003682018428420027,9.078460819485674e-06,0.0,0.0036820183663318555,0.0,466,9.078460819485674e-06,-0.00010466467356309294,3.3448504647518953e-06,0.017097549761335054,-9.963045207162698e-05,86400,2.196641763051351
-5.03876805305481,0.0,3324.3333333333335,0.0009303526193981049,0.0,13,0.004284139970938365,-2.5168016024205522e-05,0.0,0.004284139963177344,0.0,474,-2.5168016024205522e-05,0.0016227327750584664,3.2917228433385994e-06,0.014482589190204937,0.0016296410159460115,93600,2.1964188973108927
-3.639125418663025,0.0,3324.3333333333335,0.0007682561144577727,0.0,14,0.0036959223294009765,-8.537047976157435e-06,0.0,0.0036959223294009765,0.0,482,-8.537047976157435e-06,-0.00032769841297219194,2.696233279190589e-06,0.01512805400416255,-0.00033300196325095993,100800,2.1966617345809936
-4.519761737187704,0.0,3324.3333333333335,0.0015376757820274496,0.0,15,0.0052900339321543775,5.673400179754632e-06,0.0,0.005290033862305184,0.0,489,5.673400179754632e-06,-8.702941589338783e-05,9.91903678292753e-06,0.03092375701914231,-8.667084227151159e-05,108000,2.1960625966389973
-2.73175360361735,0.0,3324.3333333333335,0.0006752694176614245,0.0,16,0.0037899336234355967,1.4780871360168628e-05,0.0,0.003789933576869468,0.0,497,1.4780871360168628e-05,-0.00021605743871380885,3.0197338418247453e-06,0.013997505108515421,-0.00020511907011192912,115200,2.1966054677963256
-4.193971542845327,0.0,3324.027777777778,0.001260250809746654,0.0,17,0.005347373694721634,-7.404915492491565e-06,1.601182372399779e-06,0.00902203097581622,0.0,499,-9.006097831642455e-06,0.000645847062137147,7.537184915612088e-06,0.026603499925067088,0.0006497714429477889,122400,2.1960384153878247
-3.3393026398603243,0.0,3324.027777777778,0.0007560147173992726,0.0,18,0.005377538907624999,-3.5841183803385656e-05,2.959341486364151e-06,0.012218983562776531,0.0,494,-3.880052520886749e-05,0.0011108993983885431,3.076936225868117e-06,0.016467672212901845,0.0010876275169729038,129600,2.196026029530026
-2.978786335587501,0.0,3324.027777777778,0.000618487346539966,0.0,19,0.006402370392569098,-5.621109001848199e-05,-5.013552098718103e-07,0.013617577412296284,0.0,486,-5.570973495440302e-05,0.0011903910698516896,2.1522618295804895e-06,0.014003490154981297,0.0011486667731780533,136800,2.195555811117566
-2.946119958595653,0.0,3324.027777777778,0.000543928903918666,0.0,20,0.007473487096245993,-1.8720575756522113e-05,3.033968564981993e-06,0.013178301414689534,0.0,479,-2.175454409413894e-05,0.00046059016597139313,1.9711167449708914e-06,0.013702666181315588,0.00044216529899440677,144000,2.1949576367636374
-3.337995816945399,0.0,3324.027777777778,0.0004957321746038469,0.0,21,0.007907610113927158,-9.307357307755765e-06,1.818709606219502e-06,0.012817349426994081,0.0,473,-1.1126067268561254e-05,0.0004594389749857968,1.8007475271615786e-06,0.012858622820029114,0.000457399890365003,151200,2.1946964635104727
