PMM:episode_rewards,P09:episode_rewards,avg_q_retraced,policy_entropy,fps,rollout_prob_std,advantage_norm,model_prob_std,q_loss,P01:episode_rewards,policy_gradient_bias_correction,avg_q_selected,policy_loss,episode_length,grad_norm,frames,explained_variance,epoch_idx,policy_gradient_loss
0.0,0.0,0.001774130315364649,2.1970268090566,391,0.0020280923248113445,0.01288708911743015,0.002028092362646324,5.064034557259826e-06,0.0,0.0,0.0018404142387832205,-4.2171968198090325e-05,3324.0,0.0011053250108876778,79200,-39.83401505152384,11,-4.2171968198090325e-05
0.0,0.0,0.0017428382377450665,2.197193710009257,397,0.000683403029688634,0.0037575980260347325,0.0006834030481210599,1.023933831826677e-06,0.0,0.0,0.0017884245918442807,-4.719875223599956e-05,3324.0416666666665,0.0004556935401925992,86400,-42.52280562718709,12,-4.719875223599956e-05
0.0,0.0,0.0018514304887503386,2.1971978743871055,403,0.0005929886916419491,0.0026228875930731496,0.0005929886819406722,1.9063419169166689e-06,0.0,0.0,0.0018966374336741865,-4.212313712438724e-05,3324.0416666666665,0.0006835373379912077,93600,-170.87244806289672,13,-4.212313712438724e-05
0.0,0.0,0.0018181121985738477,2.1971837600072224,408,0.0006695632104917119,0.0030308604512053233,0.0006695632386254146,1.6989351801536637e-06,0.0,0.0,0.0018697975863081714,-4.30188304259597e-05,3324.0416666666665,0.0006023172419273317,100800,-85.9555924097697,14,-4.30188304259597e-05
0.0,0.0,0.0013515957631170749,2.197064995765686,413,0.0019363243084323282,0.011932403386648123,0.0019363242890297746,4.051653405667821e-06,0.0,0.0,0.0014428736040523896,-3.232740270201854e-05,3324.0416666666665,0.0010030006999266114,108000,-24.89848257700602,15,-3.232740270201854e-05
0.0,0.0,0.0015118490594128768,2.1971827427546184,417,0.0006929342765943147,0.004080384705836574,0.0006929342799897616,1.2259164539803653e-06,0.0,0.0,0.001526459752737234,-3.528710106669071e-05,3324.0416666666665,0.00046352707455501676,115200,-52.663068517049155,16,-3.528710106669071e-05
0.0,0.0,0.0011941621413764855,2.1971176994509163,415,0.0027110154293768576,0.010338759006440847,0.0015507786034787486,2.84733703930821e-06,0.0,0.0,0.0011877912107027238,-3.276427832645368e-05,3324.027777777778,0.0007458736650145446,122400,-17.495992695490518,17,-3.276427832645368e-05
0.0,0.0,0.0009653153290370634,2.1971956458262034,410,0.004261317531279005,0.0049834634426709585,0.000763480322425566,1.2738483048750702e-06,0.0,-1.9345092441527512e-10,0.0009936799557088683,-2.188095529685063e-05,3324.027777777778,0.0003685790438449285,129600,-43.36134782458109,18,-2.1880761847327565e-05
0.0,0.0,0.0008665614595705098,2.1972050174361186,404,0.004066350095271777,0.004064607736056334,0.000618211297484185,1.0530407201074576e-06,0.0,-1.0293273958051854e-10,0.0008550207695179057,-1.9258931199989626e-05,3324.027777777778,0.0003023651297385128,136800,-107.6418195647285,19,-1.9258828271174944e-05
0.0,0.0,0.0006723042105399405,2.1972055637931067,400,0.004227412274872583,0.004452743921255681,0.0006303158228726555,8.091954865999161e-07,0.0,-2.3863477120282064e-11,0.0006803469465965115,-1.3886906598534787e-05,3324.027777777778,0.00025012182668889986,144000,-24.02490005462889,20,-1.3886882733393814e-05
0.0,0.0,0.000605595833501808,2.197208281991974,397,0.002932024228827238,0.004245342213052071,0.0005732197985788744,6.989858413056259e-07,0.0,-1.751845779551786e-10,0.0006167683530587791,-1.588038532095955e-05,3324.027777777778,0.00022515654139971384,151200,-22.62124656559929,21,-1.5880210137121744e-05
