frames,policy_entropy,episode_length,fps,advantage_norm,explained_variance,P09:episode_rewards,P01:episode_rewards,epoch_idx,policy_loss,PMM:episode_rewards,value_loss,grad_norm
504000,1.3586509907245636,212.28,215,1.0786386588215828,0.8664026802778244,6.0,0.0,63,-0.0035115560558915604,2.22,0.009253032866399735,0.26687956279957914
512000,1.3521803271770478,225.0,216,1.1904536005854607,0.8738652360439301,6.0,0.0,64,-0.001207283949770499,2.59,0.010608656382537447,0.2949623969752873
520000,1.3543687736988068,214.76,216,1.1932278501987457,0.8832321119308472,5.1000000000000085,0.0,65,0.0005490555223059346,2.34,0.010656171334558167,0.2889025387663456
528000,1.3541642773151397,218.08,216,1.1234847727417945,0.8874124264717103,7.0,0.0,66,-0.0013357306169928052,2.48,0.009125236403779127,0.2498354037253634
536000,1.3397000443935394,214.66,216,1.2726134002208709,0.8768028259277344,7.0,0.0,67,-0.004827780518680811,2.44,0.011463915611384436,0.32803045533996167
544000,1.3429395425319672,216.53,216,1.1483046108484267,0.8862338757514954,6.0,0.0,68,-0.0010726211190922187,2.45,0.009356052972143515,0.2819595380686661
552000,1.348906590938568,217.94,216,1.3140313997864723,0.8409296625852585,5.1000000000000085,0.0,69,-0.0024744851267314515,2.4,0.012143900161609053,0.3460388927926838
560000,1.346007663011551,221.04,216,1.1911637833714486,0.8947467249631882,5.0,0.0,70,-0.0006263867334928364,2.45,0.01023714170209132,0.29516795330254825
568000,1.3324234342575074,218.59,216,1.393205422759056,0.8263469165563584,6.0,0.0,71,-0.0011165717887342908,2.52,0.013812544448301196,0.3522132526740888
576000,1.3250668919086457,220.61,217,1.2211338362097741,0.8933590567111969,6.0,0.0,72,-0.000300251287771971,2.57,0.01081811569747515,0.32217840911415374
584000,1.3276664221286774,226.31,216,1.1766161078214645,0.8945461982488632,6.1000000000000085,0.0,73,-0.0026594747244962492,2.78,0.009883019839180633,0.27674408861988214
592000,1.3234458351135254,234.0,217,0.9815285727381706,0.9307569527626037,6.0,0.0,74,-0.0010773829999379814,2.93,0.007440876757609658,0.24019146942937522
600000,1.3293306422233582,240.36,216,1.1203284040093422,0.8957449495792389,7.1000000000000085,0.0,75,-0.000255231566115981,3.03,0.009109574434696698,0.2642341572609187
608000,1.3220740783214568,236.16,216,1.0717626857757567,0.9119133841991425,7.0,0.0,76,-0.0028736042562377407,2.92,0.008301904759719037,0.2783094737577673
616000,1.3370862996578217,229.02,215,0.9193220081925392,0.9357304894924163,6.0,0.0,77,-0.0006426624735468067,2.72,0.006334025651449337,0.22856406089527329
624000,1.3431436133384704,238.09,216,0.9334131371974945,0.9285008412599564,5.0,0.0,78,0.0005177988784271292,2.98,0.006531715420424007,0.22176136282658296
632000,1.34968066573143,234.44,215,1.0516760706901551,0.9085445564985275,5.0,0.0,79,-7.898067473433911e-05,2.82,0.00828306123323273,0.2542270761147976
640000,1.3473698806762695,232.02,215,1.1491668713092804,0.8836326658725738,5.1000000000000085,0.0,80,-0.0012951849283854245,2.75,0.009440243635326624,0.28168725960418217
648000,1.3456915259361266,225.1,215,1.0129567873477936,0.9036933803558349,6.0,0.0,81,-0.00010074770005303436,2.63,0.007634253813303076,0.22968844960820264
656000,1.3355520963668823,228.13,215,1.0410400068759917,0.9178658932447433,6.200000000000017,0.0,82,-0.0005092137653264217,2.81,0.007724104671506211,0.24578662334814766
664000,1.3362024652957916,232.09,215,1.2493312698602677,0.8603584116697311,6.200000000000017,0.0,83,-0.0007274330593645573,2.89,0.010765058151446284,0.3005216410990469
672000,1.3081563305854798,235.81,215,1.1672674530744553,0.8945059204101562,6.0,0.0,84,-0.006208416441222653,2.97,0.009569793537957593,0.29713527287513863
680000,1.3281301975250244,234.49,215,1.0831456077098847,0.8976555818319321,6.0,0.0,85,-0.0007499834434156582,2.93,0.008224335338454694,0.27595493904990526
688000,1.324211618900299,236.14,215,1.331968738436699,0.8700429487228394,6.0,0.0,86,-0.0013445631714421324,2.97,0.012220801046350972,0.34268726723069565
696000,1.3201964378356934,256.27,215,0.9710725885629654,0.9310943681001663,10.0,0.0,87,-0.0004176026745699346,3.62,0.006843845716211945,0.23361790096109722
704000,1.3282179999351502,263.58,215,0.919311321079731,0.9439115381240845,10.0,0.0,88,-0.00016739540384151042,3.87,0.00603474952862598,0.21901276351531973
712000,1.3306117177009582,267.36,215,1.0939377480745316,0.9177332490682601,10.100000000000009,0.0,89,-0.0011414363020958262,3.99,0.008369612010428682,0.24301379698233425
720000,1.3157331907749177,249.99,215,1.237088733613491,0.8922539049386978,9.0,0.0,90,-0.0036331905284896493,3.46,0.010710927377222106,0.3187993405111857
728000,1.3088587856292724,242.05,214,1.1367242607474326,0.8945572972297668,8.0,0.0,91,-0.0030393197963712736,3.28,0.00887526924838312,0.290969558049113
736000,1.3198953366279602,231.85,214,1.0455416744947434,0.9291169929504395,7.0,0.0,92,-0.0008262238718452863,2.93,0.007544161456171423,0.24807293587742676
744000,1.3146259248256684,232.03,214,1.0621120929718018,0.9139221197366715,6.1000000000000085,0.0,93,-0.0006733067694585771,2.96,0.008102498614462092,0.25281902861280003
752000,1.3145167195796967,248.65,214,1.2248376053571701,0.8959410256147384,9.0,0.0,94,-0.0008429120585788042,3.43,0.010298542671371251,0.28590573993533835
760000,1.3214494574069977,244.28,214,1.193128723502159,0.887959275841713,9.100000000000009,0.0,95,-0.0028049620718229563,3.31,0.009885668247006834,0.30368155745043035
768000,1.3288618576526643,236.97,214,1.048206579387188,0.9135857933759689,8.100000000000009,0.0,96,-0.0014286163231008687,3.22,0.00766103056143038,0.25929512861521714
776000,1.2985481941699981,235.32,214,1.17815753698349,0.9022775655984878,8.0,0.0,97,-0.0020567760022822765,3.14,0.009589710247237235,0.2835607213098024
784000,1.3030665135383606,242.73,215,1.1846426957845688,0.8854476737976075,8.100000000000009,0.0,98,-0.0013807684904895722,3.35,0.009975589490495622,0.29048078316320547
792000,1.297453888654709,267.21,214,1.256616758108139,0.8884144961833954,9.100000000000009,0.0,99,-0.003399777327431366,4.08,0.011214927604887634,0.3101639803902505
800000,1.3073390233516693,273.46,214,1.171314926147461,0.8946663302183151,10.0,1.0,100,-0.0006500769644480897,4.39,0.00962411904358305,0.2717633438811325
808000,1.2897574806213379,275.34,214,1.355651622414589,0.8597039836645126,10.100000000000009,1.0,101,-0.0017942060809582473,4.65,0.012748571860138327,0.3475213428512334
816000,1.2942100203037261,285.47,214,1.3934334778785706,0.85970634162426,11.0,1.0,102,-0.006581563886720687,5.11,0.013281065406044946,0.347713460913872
824000,1.2861917507648468,281.14,213,1.2784944653511048,0.892413648366928,10.100000000000009,1.0,103,-0.002108524942304939,4.91,0.011381618913728743,0.3253303413694006
832000,1.2921317088603974,279.04,212,1.2176881164312363,0.9035020470619202,9.100000000000009,1.0,104,-0.0033781430470844497,4.58,0.010437877515796572,0.31983825592884413
840000,1.2906997323036193,281.62,213,1.2132569205760957,0.9012520456314087,9.0,1.0,105,-0.003035260894102976,4.55,0.009926967151695863,0.3119956987575322
848000,1.2720941400527954,290.59,212,1.2024029409885406,0.9045097351074218,10.0,1.0,106,-0.003327197448397783,5.03,0.009945703577250243,0.32035916042315316
856000,1.2723086953163147,300.51,212,1.3784848922491073,0.8560619127750396,10.0,1.0,107,-0.002619847598252818,5.19,0.012816495671868324,0.35218830558811504
864000,1.2821516513824462,301.18,212,1.2733441090583801,0.8831318306922913,11.100000000000009,1.0,108,-0.0018814270445727743,5.42,0.011333682457916439,0.3212241631001872
872000,1.2789087033271789,295.29,212,1.3666507607698442,0.8376872539520264,10.100000000000009,1.0,109,-0.0026544326610746793,5.13,0.012977772601880133,0.3454522397001927
880000,1.2491805171966552,294.54,213,1.4684194201231002,0.8537956029176712,11.0,1.0,110,-0.005035557153751142,5.3,0.014683921084506437,0.4211255766436577
888000,1.2531272220611571,309.53,213,1.3190447247028352,0.855906907916069,12.0,1.9000000000000004,111,-0.0020180809288285672,5.87,0.01206827747868374,0.3452037885071117
896000,1.2464237201213837,305.48,213,1.3221045008301735,0.8667809396982193,11.0,2.0,112,-0.0019508576206862926,5.88,0.01201603502384387,0.341574598933474
904000,1.2766405105590821,295.69,213,1.4180842208862305,0.8416672956943512,11.0,2.0,113,-0.0029809633709373885,5.55,0.013914643789175897,0.3715973284031495
912000,1.2559419512748717,282.47,213,1.3009493160247803,0.8779519945383072,10.100000000000009,1.0,114,-0.0034634725542127855,5.08,0.011613158823456616,0.3501493656436649
920000,1.2525671803951264,292.06,213,1.4945146137475966,0.8410094797611236,11.0,1.9000000000000004,115,-0.00139866586541757,5.21,0.015382793629541994,0.3992062816332561
928000,1.2518557715415954,300.74,213,1.5274225175380707,0.8119847756624222,10.100000000000009,2.0,116,-0.000787670606514439,5.42,0.015634779308456928,0.39494474427161136
936000,1.251240051984787,318.24,213,1.534850037097931,0.8130208081007004,11.0,2.0,117,-0.0044084406014917475,6.13,0.0159716232935898,0.4068237822061002
944000,1.207894790172577,332.07,213,1.356537333726883,0.8687238210439682,11.0,2.0,118,-0.00373523601971101,6.64,0.012418624772690236,0.3762009842611061
952000,1.2448004984855652,332.72,213,1.4931110787391662,0.8440160179138183,11.0,2.0,119,-0.001191419143233361,6.78,0.015146188747603446,0.39682845038376746
960000,1.2557560753822328,341.74,213,1.5198000931739808,0.8459518331289292,11.0,2.0,120,-0.0032951943212538026,6.88,0.015704564419575035,0.3957225678016403
968000,1.2414738702774049,363.33,214,1.7380177104473113,0.7695039284229278,11.100000000000009,2.0,121,-0.0011154645576607436,7.32,0.019813955184072255,0.4557961371572264
976000,1.2234881806373596,346.81,214,1.536670994758606,0.8233935469388962,11.0,2.0,122,-0.0053649767101160255,6.73,0.015949480454437434,0.4077022323457424
984000,1.2367671406269074,354.21,214,1.6839418131113053,0.8078021079301834,11.100000000000009,2.0,123,-0.0038564493204467,6.92,0.018640482164919377,0.4215978777608339
992000,1.222146218419075,357.82,214,1.7131017440557479,0.7607398754358292,12.0,2.9000000000000004,124,-0.0020169738051481543,7.12,0.019772451734170318,0.49720746686766565
1000000,1.2437417936325073,360.37,214,1.5950490432977675,0.8001040142774581,12.0,3.0,125,-0.002697385960491374,7.37,0.01703754669521004,0.41050193589957523
1008000,1.2228586506843566,370.93,214,1.5573149174451828,0.8075172996520996,12.0,3.0,126,-0.003852742310264148,7.58,0.016021210346370936,0.4097862864733082
1016000,1.2145530128479003,376.92,214,1.5742806482315064,0.8191474080085754,12.100000000000009,3.0,127,-0.00021862108580535277,7.76,0.01636998878326267,0.4006657720727283
1024000,1.2384160363674164,376.56,214,1.5394260060787202,0.8165244388580323,12.100000000000009,3.0,128,-0.005953080580220558,7.57,0.01571166027337313,0.4304911414030827
