episode_length,PMM:episode_rewards,policy_loss,fps,frames,epoch_idx,grad_norm,policy_entropy,advantage_norm,value_loss,P01:episode_rewards,P09:episode_rewards,explained_variance
177.52,1.27,-4.203586926450953e-05,944,1064000,133,0.09476085015002315,1.3854665815830232,0.5280912680178881,0.0023180225600663105,0.0,3.0,0.43563978135585785
174.29,1.23,-0.0006193119562703941,944,1072000,134,0.10480634957841348,1.3832354617118836,0.5948934181034565,0.003059904216133873,0.0,3.0,0.15307576775550844
182.54,1.45,0.0002591668794048019,944,1080000,135,0.10678340633644198,1.3828323876857758,0.5556305760145187,0.0028494340183533497,0.0,4.0,0.38733175754547117
182.09,1.38,-0.0005498525060465909,944,1088000,136,0.09511982207759856,1.3836625766754151,0.5236055897921323,0.0023521344343680538,0.0,4.0,0.055603693127632144
181.28,1.39,-7.742651680018752e-05,944,1096000,137,0.10218198383045321,1.382505762577057,0.591469739228487,0.0028967255643510726,0.0,3.0,0.3304667538404465
184.92,1.47,0.000189424902346218,944,1104000,138,0.08664583272848876,1.3844627273082732,0.5166104680299759,0.002296750525420066,0.0,3.1000000000000085,0.3906552165746689
179.37,1.31,0.00012041332491207867,944,1112000,139,0.08208846469192851,1.3840522587299346,0.4907462342083454,0.0021189341985882494,0.0,3.0,0.11739081501960755
172.83,1.17,-4.3588946864474566e-05,944,1120000,140,0.08793350352580914,1.3822678983211518,0.49792570754885673,0.002326681631748215,0.0,3.0,0.1710093832015991
177.92,1.28,0.00024669096266734415,944,1128000,141,0.10808452871268777,1.3845064628124237,0.5951842834055424,0.003090652818864328,0.0,3.0,0.5192409169673919
177.75,1.29,-0.00029772169575153384,944,1136000,142,0.08726356963957159,1.3843642914295196,0.4982299567759037,0.0021769742912147194,0.0,3.0,-0.37968156635761263
174.51,1.21,0.00041796687510213814,944,1144000,143,0.09472196494724881,1.385248713493347,0.5290817588567733,0.0024300134508666816,0.0,3.0,0.3702922636270523
179.28,1.34,-0.0004198344564065337,944,1152000,144,0.1117566700139181,1.3824284613132476,0.6059808215498924,0.003242414538835874,0.0,3.0,0.7511383664608001
