explained_variance,fps,value_loss,P01:episode_rewards,PMM:episode_rewards,episode_length,policy_entropy,epoch_idx,approx_kl_divergence,clip_fraction,frames,grad_norm,advantage_norm,P09:episode_rewards,policy_loss
-2.6077032089233397e-09,233,0.012528366351034492,122.5,270.25,366.16,1.6202456414699555,18,0.0033024575663148426,0.2263427734375,184320,0.05733172870715218,15.968717801570893,575.0,-0.0016784626815933735
-7.82310962677002e-09,234,0.014150337800674605,97.5,263.5,361.35,1.6617101073265075,19,0.0025443636815623448,0.190673828125,194560,0.05751366777441711,15.968717843294144,550.0,-0.0013332424823602196
0.0,235,0.016366321695386432,122.5,283.25,360.83,1.6011995062232018,20,0.0023908441217201926,0.1571044921875,204800,0.05459406599716159,15.968717944622039,600.0,-0.0013399325871432666
1.5273690223693846e-08,235,0.01590545642247889,125.0,286.0,353.15,1.6082765027880668,21,0.0031398468633369704,0.2029296875,215040,0.057899508768804106,15.968717944622039,527.5000000000002,-0.0015924038463708712
-1.2293457984924316e-08,235,0.014236694056307897,147.5,274.5,349.91,1.5065487928688526,22,0.002737963756374029,0.16416015625,225280,0.052265245574489236,15.96871787905693,400.0,-0.0012179621695395325
1.7881393432617187e-08,236,0.0159236018138472,150.0,266.75,350.03,1.4737456902861594,23,0.0021936923070597913,0.1435791015625,235520,0.055134555129469874,15.968717730045318,375.0,-0.000888238663901575
2.16066837310791e-08,236,0.01431440778396791,150.0,267.5,349.52,1.5565877296030521,24,0.002463661917124682,0.1576416015625,245760,0.05389811228514555,15.968717873096466,352.5000000000002,-0.0013362214380322258
1.0058283805847169e-08,237,0.013791100360685959,175.0,266.25,356.1,1.514216585457325,25,0.0029618232716984495,0.1979736328125,256000,0.05412794765274267,15.96871771812439,325.0,-0.0010474435577634722
5.587935447692871e-09,238,0.01497940309054684,172.5,269.25,357.56,1.6096166238188743,26,0.00230441934548935,0.142626953125,266240,0.053788437934395514,15.968717867136002,400.0,-0.0008339846241142368
-1.4901161193847657e-09,238,0.012974772544475854,150.0,261.5,360.69,1.6745700672268868,27,0.002342016651346057,0.1582763671875,276480,0.05241639623520454,15.968717765808105,400.0,-0.000804514064657269
-7.82310962677002e-09,238,0.011254368242589408,125.0,251.75,366.73,1.6824834227561951,28,0.0031063550956787365,0.2448486328125,286720,0.05508067266777428,15.968717604875565,400.0,-0.0014575853467249545
-8.195638656616212e-09,238,0.009954963795098592,50.0,226.0,362.04,1.7075399927794934,29,0.0032786582007702236,0.2175048828125,296960,0.05353883585654408,15.968717658519745,400.0,-0.000931525809573941
1.3411045074462891e-08,239,0.008696674951363548,25.0,195.0,354.56,1.655902199447155,30,0.003113903823694386,0.20224609375,307200,0.047227183648207244,15.968717473745347,377.5000000000002,-0.0014387012568477075
-2.9802322387695314e-09,239,0.009068631852733234,22.500000000000007,183.25,351.81,1.5628694742918015,31,0.003942173327118326,0.259375,317440,0.052510023628625925,15.96871738433838,452.50000000000017,-0.002180192762534716
