epoch_idx,frames,PMM:episode_rewards,P09:episode_rewards,policy_entropy,advantage_norm,approx_kl_divergence,P01:episode_rewards,clip_fraction,value_loss,policy_loss,episode_length,explained_variance,fps,grad_norm
37,378880,485.75,727.5000000000002,1.7023432187736034,15.968719285726547,0.00207587742178276,247.5,0.1189208984375,0.14512028326280416,-0.010118555734879919,445.59,0.8533407103270292,190,2.0375036269473115
38,389120,461.75,727.5000000000002,1.719045478850603,15.968719190359115,0.0017325650617183725,222.5,0.098828125,0.14351938366889955,-0.008501133695972385,441.06,0.8611487485468388,191,2.178977265480289
39,399360,468.5,750.0,1.7130471870303154,15.96871930360794,0.002066460168589691,225.0,0.1179443359375,0.18417395916767418,-0.009405538788996637,438.96,0.8133508238941431,191,2.106348363593812
40,409600,462.5,725.0,1.6979177840054036,15.968719226121902,0.002262213975609806,200.0,0.141015625,0.1490667049540207,-0.011174033493989554,424.05,0.8511755630373955,191,1.9162766473332031
41,419840,458.25,750.0,1.7094508536159991,15.9687191426754,0.002052902242064913,197.5,0.1273681640625,0.17173754246905445,-0.009508179195108823,425.27,0.8183393165469169,191,1.8213734216732562
42,430080,471.25,750.0,1.6966110184788703,15.968719267845154,0.0024205319067053103,200.0,0.1503173828125,0.10336080577690154,-0.01179128858857439,425.41,0.8840958695858717,191,1.740916351968049
43,440320,477.5,725.0,1.685620405524969,15.968719291687012,0.0024643249899330604,247.5,0.1471435546875,0.14115526576060802,-0.010982661926027504,425.5,0.8793843653053045,191,1.8463007293233158
44,450560,491.25,750.0,1.7025199398398398,15.968719339370727,0.002256838243579616,225.0,0.1385986328125,0.1611297145485878,-0.010033946772455237,428.19,0.8508490033447742,191,1.90815623549843
45,460800,497.0,700.0,1.6880594536662101,15.96871926188469,0.0023172920459731774,222.5,0.144677734375,0.1677212618291378,-0.009877182672789786,426.53,0.8091149959713221,191,1.914118547191972
46,471040,495.0,725.0,1.698015984892845,15.968719238042832,0.002556381639647334,222.5,0.151220703125,0.13284339969977738,-0.012236892560031265,434.48,0.8355858493596315,191,1.8086822212068472
47,481280,498.5,725.0,1.6937098793685437,15.968719136714935,0.0025104357924422916,200.0,0.1572998046875,0.1371349337277934,-0.011158120909385616,441.88,0.8378825351595879,191,1.7719931838262446
48,491520,486.5,725.0,1.695356558263302,15.968719458580017,0.0023879567613792757,200.0,0.1504150390625,0.15502918518614023,-0.010419667851965641,445.58,0.8473871320486068,191,1.946273094055116
49,501760,506.0,725.0,1.6851789362728595,15.968719339370727,0.0027092284156768802,250.0,0.1666259765625,0.14153954409994185,-0.011325659511203411,457.43,0.8873808987438678,191,1.9024614096324606
50,512000,590.25,752.5000000000002,1.6752006947994231,15.968719285726547,0.0022731709927601056,250.0,0.1387451171875,0.3144526562886313,-0.010503911608611815,462.09,0.8322537828236818,191,1.9399406785004811
51,522240,587.5,775.0,1.6899085611104965,15.96871926188469,0.002427991505283282,250.0,0.1449462890625,0.1492025532061234,-0.012241392839496257,461.57,0.8840366315096617,191,1.6886048436713748
52,532480,611.75,777.5000000000002,1.6788684867322445,15.968719154596329,0.0023748705416895216,250.0,0.1550537109375,0.10671505786012858,-0.01225786341019557,457.9,0.9243107009679079,191,1.7852723019509322
53,542720,634.75,800.0,1.685873181372881,15.968719333410263,0.0027739807303535915,297.5,0.166748046875,0.10567777776159346,-0.012071727340662619,456.75,0.9122546952217817,191,1.6578029715130675
54,552960,650.0,802.5000000000002,1.693924929946661,15.968719255924224,0.002678897452369993,325.0,0.1265625,0.1089533366728574,-0.012287837181065697,471.17,0.9096765138208867,191,1.57216348425097
55,563200,623.5,802.5000000000002,1.7002052627503872,15.968719106912612,0.002142660722688882,325.0,0.1261962890625,0.12680621824692934,-0.012017982667748584,470.66,0.85049316175282,192,1.6341333820273853
56,573440,602.0,775.0,1.698137566447258,15.968719255924224,0.0022885210882125887,275.0,0.1473876953125,0.1533193158917129,-0.010951565462892176,462.9,0.881104601919651,192,1.864264114175553
57,583680,588.75,775.0,1.6927632369101047,15.968719333410263,0.0020958901713359567,275.0,0.1259033203125,0.16434970274567604,-0.010023347886453848,461.87,0.8577700648456812,192,1.736554881997637
58,593920,556.0,775.0,1.7022933281958104,15.968719238042832,0.002094128998976684,272.5,0.1279052734375,0.17876017226371915,-0.010049973941931967,443.45,0.8456021301448345,192,1.8475616177206078
59,604160,539.5,750.0,1.6998510874807835,15.968719404935836,0.002018589370698267,275.0,0.1118896484375,0.15764105941634626,-0.011232573690176651,433.34,0.8447900995612144,192,1.6730057155242157
60,614400,533.25,750.0,1.6933103628456592,15.968719291687012,0.0020878706216993304,300.0,0.11708984375,0.12550440737977625,-0.012006206522346474,437.44,0.8708311289548873,192,1.5616272232454047
61,624640,553.5,752.5000000000002,1.7006689235568047,15.968719220161438,0.0024744492128323525,300.0,0.14384765625,0.09936945396475494,-0.013689114201042685,443.23,0.9053685888648033,192,1.422169788853843
62,634880,564.75,750.0,1.6783255226910114,15.968719124794006,0.0024483142653824357,300.0,0.142138671875,0.18114281005691737,-0.011735300956206628,449.51,0.8602604024112225,192,1.87357472436548
63,645120,551.75,750.0,1.6679142840206622,15.968719267845154,0.0023466206974493437,275.0,0.14541015625,0.1770988239441067,-0.011138627069885842,450.61,0.8889629010111093,192,1.954490751924459
64,655360,572.75,775.0,1.6705603271722793,15.968719106912612,0.0023214977152523175,275.0,0.1250244140625,0.15103963618166744,-0.011291861746576615,446.37,0.9021101161837578,192,1.8507743427808627
65,665600,557.25,775.0,1.6591307014226913,15.968719220161438,0.002347063254683551,272.5,0.146533203125,0.20428995764814317,-0.010495815373360529,435.45,0.8177686166018248,192,1.9939926388606675
66,675840,543.0,775.0,1.6700257450342177,15.968719059228897,0.002186992968381968,275.0,0.1383056640625,0.11511882739141584,-0.011310604341269936,433.1,0.9166988398879766,192,1.6683661470390594
67,686080,565.25,775.0,1.6638127513229848,15.968719184398651,0.002266868387005476,300.0,0.1446044921875,0.10083372283261269,-0.011702891458116937,439.68,0.9223149873316288,192,1.7178268338674776
68,696320,574.25,775.0,1.6543585918843746,15.968719226121902,0.0025328176821862165,325.0,0.158984375,0.12851047655567527,-0.011181569197651698,448.39,0.9040458537638187,192,1.6212724077487004
69,706560,591.25,775.0,1.6651131346821786,15.96871920824051,0.0028794103311160146,325.0,0.18603515625,0.10360431666485966,-0.013103732485615183,462.18,0.9187979999929666,192,1.6533318815212315
70,716800,601.75,775.0,1.6745155915617942,15.96871926188469,0.0024934163592209803,347.5,0.157470703125,0.13625605078414083,-0.012941357897943817,469.54,0.9049553897231817,192,1.619521765044458
71,727040,609.0,800.0,1.6798842012882234,15.96871924996376,0.002235168255402048,300.0,0.1357666015625,0.15454239335376768,-0.011033214371855138,474.78,0.8816839803010226,192,1.8670370009128305
72,737280,611.25,777.5000000000002,1.6739216677844524,15.968719345331191,0.002473478746628995,300.0,0.149853515625,0.13607955570332705,-0.012709062849171459,473.14,0.9169683266431093,192,1.7785248398562783
73,747520,613.25,775.0,1.6739314794540405,15.968719297647477,0.002535730084673933,297.5,0.15751953125,0.10124333242420107,-0.013374131920136279,469.29,0.9415020767599345,192,1.771691647938414
74,757760,591.25,775.0,1.672965058684349,15.96871908903122,0.0025796067327750133,297.5,0.1453857421875,0.14792391806840896,-0.012517338704992654,463.01,0.9068841755390167,192,1.7163135304638881
75,768000,589.75,775.0,1.6723386012017727,15.968719357252121,0.0022950805436497525,325.0,0.1423828125,0.13965334089007228,-0.0114473827117763,460.41,0.9143442172557116,192,1.804753078554154
76,778240,609.5,800.0,1.6503460370004177,15.968719148635865,0.002583331621054059,325.0,0.153759765625,0.09652359625324607,-0.014252719211071962,472.9,0.9094957709312439,192,1.6479263627344474
77,788480,610.75,800.0,1.6577616207301618,15.968719047307967,0.002735990955602906,347.5,0.1611572265625,0.12433819810394198,-0.012588072579819708,480.38,0.9253223471343517,192,1.6736435872457995
78,798720,641.25,825.0,1.6560145176947116,15.968719238042832,0.0028026061287281566,350.0,0.159423828125,0.09661780131282285,-0.013741818269409123,494.55,0.9426667578518391,192,1.68973411984312
79,808960,648.5,825.0,1.6737748362123965,15.96871919631958,0.002364048358413456,375.0,0.156005859375,0.14269971959292888,-0.012162947434626403,496.82,0.9107498496770858,192,1.829787313752668
80,819200,660.75,852.5000000000002,1.6894156396389008,15.968719255924224,0.0023969414085857734,397.5,0.1441650390625,0.16073560961522163,-0.012151861091479078,500.62,0.9095274917781353,192,1.866542880466577
81,829440,642.5,850.0,1.659412218630314,15.968719273805618,0.002213124934167224,375.0,0.133251953125,0.14852118284907193,-0.01258116439494188,493.03,0.9045515712350607,192,1.8878165755879706
82,839680,703.0,1160.000000000001,1.667183044552803,15.968719106912612,0.0025541949725610457,397.5,0.1601806640625,0.32614799463190136,-0.012771974826318911,499.43,0.879274021461606,192,1.7338956394400142
83,849920,679.25,970.0000000000017,1.6792763225734233,15.968719273805618,0.0018442913786092588,347.5,0.1126708984375,0.19691124288365244,-0.009592567955405685,492.39,0.8983754802495241,192,2.4773643618938506
84,860160,675.75,970.0000000000017,1.6864499919116498,15.968719285726547,0.0022966011710881086,297.5,0.1401611328125,0.17615520344115793,-0.011341586620983436,488.44,0.8658106897026301,192,1.7789241522991912
85,870400,653.25,825.0,1.680891452729702,15.968719398975372,0.0023591459829848233,325.0,0.152490234375,0.09754907600581646,-0.012828046772483503,490.53,0.9220134939998388,192,1.6009913485532916
86,880640,644.25,825.0,1.6720412217080594,15.96871926188469,0.0024261772620778627,322.5,0.13486328125,0.13242322134319692,-0.01174622716353042,482.56,0.8983372993767261,193,1.6491892523924847
87,890880,717.0,825.0,1.672934128344059,15.968719238042832,0.002015216627615107,347.5,0.128955078125,0.6545628415187821,-0.010521338068792829,484.07,0.8236038871109486,193,1.9205544739965235
88,901120,717.25,825.0,1.683453356474638,15.96871938109398,0.002129888379545581,325.0,0.131494140625,0.14087709509767593,-0.011557392452232307,489.92,0.9296020671725274,193,1.8250453426417224
89,911360,768.25,850.0,1.6685915149748325,15.968719255924224,0.0026090925768702004,350.0,0.1443603515625,0.278564571053721,-0.012387753150687787,496.11,0.8526416283100844,192,1.9755167683144008
90,921600,791.0,882.5000000000006,1.6410400308668613,15.968719124794006,0.0030460095726997536,372.5,0.165966796875,0.10325830098008737,-0.01337337141885655,498.8,0.9304127093404532,192,1.6916112370637049
91,931840,729.75,850.0,1.6726601131260395,15.968719297647477,0.002190225004574448,372.5,0.1412109375,0.15337794243823738,-0.011965635451633715,502.46,0.8919696226716042,192,1.7661779574480292
92,942080,678.5,850.0,1.6711080148816109,15.968719267845154,0.0022798171640946627,350.0,0.134130859375,0.16949227615259588,-0.012005334452260286,503.78,0.9023916739970446,192,1.9548782906595377
93,952320,706.0,850.0,1.6476275630295276,15.968719309568405,0.0028248137560016413,372.5,0.1580810546875,0.1076723981066607,-0.014227750110148919,512.14,0.9507048923522234,192,1.677982453274128
94,962560,721.5,852.5000000000002,1.6403212495148183,15.968719160556793,0.00509092121119503,397.5,0.158447265625,0.31833974755136296,-0.012170512912416599,521.25,0.8971679236739873,192,2.0234684693948557
95,972800,728.5,857.5000000000006,1.6422101847827435,15.968719321489335,0.002623145531402228,397.5,0.1634521484375,0.14211584189906717,-0.012567896236214437,522.13,0.9442702520638704,192,1.8711290171476005
96,983040,725.25,827.5000000000002,1.6417760901153087,15.968719244003296,0.0027053628237585134,397.5,0.1635986328125,0.12589787603355945,-0.013206194844315178,524.9,0.9385186597704888,192,1.900260490282054
97,993280,751.0,850.0,1.6500251397490502,15.968719202280045,0.0024513656190951138,447.5,0.163134765625,0.09968625036999583,-0.01369299984908139,541.83,0.9517239946871996,192,1.8335457284319179
98,1003520,744.0,850.0,1.6547580540180207,15.968719255924224,0.0025860860556125706,425.0,0.1506103515625,0.1998297499259934,-0.013028731672966387,535.18,0.9171524327248335,192,2.2194523843266394
99,1013760,712.25,850.0,1.6649363726377486,15.968719339370727,0.0024451261986317965,447.5,0.1603271484375,0.11972306864336132,-0.012894021079409868,532.04,0.9377592906355858,192,1.8490297291000506
100,1024000,720.25,850.0,1.6438958585262298,15.968719255924224,0.0025608359559559273,447.5,0.16953125,0.15593476404901593,-0.01235227460092574,534.77,0.9172114375978708,192,2.144477810268852
101,1034240,721.75,852.5000000000002,1.636816293001175,15.968719315528869,0.002855879413596441,447.5,0.1714599609375,0.12718923857901246,-0.0132888030657341,531.6,0.9247982665896416,192,1.9138327635263916
102,1044480,724.0,882.5000000000006,1.6548586793243885,15.968719291687012,0.002464287571024559,447.5,0.1612060546875,0.15476483439560978,-0.011365833665331592,531.02,0.9380967743694782,192,1.9448377266527141
103,1054720,745.75,852.5000000000002,1.651656511425972,15.968719327449799,0.0020819838761443376,425.0,0.1302978515625,0.39276690483093263,-0.010015921257581795,525.93,0.8551815092563629,192,2.210050601717824
104,1064960,736.25,850.0,1.6560645438730717,15.968719345331191,0.002554406826482459,425.0,0.1547607421875,0.17660313767846675,-0.011520900510731735,528.34,0.9115255549550056,192,1.867842703904404
105,1075200,727.0,850.0,1.6591024808585644,15.96871919631958,0.002363131365860122,400.0,0.1474609375,0.16090948334895075,-0.01138398390976363,527.05,0.9189319860190153,192,1.896406892367125
106,1085440,760.25,850.0,1.6550153583288192,15.968719297647477,0.0024656523963589106,400.0,0.1530029296875,0.3417009451193735,-0.01174483960494399,531.81,0.8799857832491398,192,1.9017936873697416
