PMM:episode_rewards,fps,grad_norm,advantage_norm,P09:episode_rewards,approx_kl_divergence,epoch_idx,frames,policy_loss,explained_variance,value_loss,policy_entropy,clip_fraction,episode_length,P01:episode_rewards
36.5,252,0.04546996811214657,15.9687088906765,75.0,0.004043004295419905,83,849920,-0.00066707899022731,-1.564621925354004e-08,0.002967390584629115,1.3615587778389453,0.276171875,294.77,0.0
29.75,252,0.04166786459356016,15.968658375740052,75.0,0.003751024074023235,84,860160,-0.0012905903666251106,4.097819328308106e-09,0.002295641191004183,1.4659921899437904,0.270703125,293.19,0.0
34.0,252,0.045262259953976355,15.968712621927262,75.0,0.004321766238911095,85,870400,-0.0009013010036142078,-2.2351741790771484e-09,0.0035869554018859162,1.5240046449005604,0.2555419921875,293.28,0.0
61.0,252,0.05322238354740978,15.968717652559281,125.0,0.00392498628523299,86,880640,-0.001169161971847643,-1.4528632164001465e-08,0.006314666414073145,1.6572330631315708,0.291162109375,300.4,0.0
86.25,252,0.05334318379212938,15.968717247247696,175.0,0.0028616366316896345,87,890880,-0.0012273033262317767,2.9802322387695314e-09,0.0063484672256890915,1.6708526372909547,0.2449951171875,306.02,0.0
114.75,252,0.05047878496596232,15.968714863061905,375.0,0.0024069983328956824,88,901120,-0.001364885183284059,-7.450580596923828e-09,0.0069784789461380115,1.5831669233739376,0.205029296875,318.46,0.0
126.5,252,0.052884584838699546,15.96871771812439,375.0,0.0026780641404570817,89,911360,-0.0009593417031283025,9.313225746154785e-09,0.008692927856100142,1.622768048942089,0.2166015625,325.87,0.0
128.75,251,0.052958832998922324,15.968717312812805,352.5000000000002,0.0033736631366480196,90,921600,-0.001406785467042937,-1.7508864402770997e-08,0.00698705374209112,1.6257926233112812,0.281787109375,328.71,0.0
103.25,251,0.05114361984166023,15.96868113875389,277.5000000000002,0.004049611387938512,91,931840,-0.0014698667167976965,-1.1548399925231934e-08,0.003700464128342418,1.6702975153923034,0.3221923828125,320.17,0.0
91.5,251,0.05342524105161639,15.96871749162674,225.0,0.0024062847992809113,92,942080,-0.0009797928789339494,-5.960464477539063e-09,0.006859275573333434,1.6838748097419738,0.2075439453125,311.27,0.0
