policy_loss,explained_variance,P01:episode_rewards,fps,episode_length,value_loss,advantage_norm,epoch_idx,frames,P09:episode_rewards,PMM:episode_rewards,policy_entropy,grad_norm
-0.0020000340096885338,0.8948002630472183,0.0,266,198.38,0.00796249139442807,0.8630173507332802,24,192000,5.0,1.82,1.334881191253662,0.25101203477637685
-0.0005974796100053936,0.9725886291265488,0.0,267,199.39,0.0030783561486168766,0.6126830266416072,25,200000,5.1000000000000085,1.86,1.3338279283046723,0.1538886197916851
-0.000828208769671619,0.9605269914865494,0.0,268,201.06,0.0038273629939067177,0.6966212876141071,26,208000,5.0,1.84,1.3422845351696013,0.17232535638686056
6.32316348492168e-05,0.9292757189273835,0.0,269,204.73,0.006699057432124391,0.9110577100515366,27,216000,5.0,2.02,1.3599187684059144,0.22197410807032633
-0.0010023585526505484,0.9644374293088913,0.0,269,199.5,0.003991773874149658,0.6699763509631157,28,224000,5.0,1.89,1.339201374053955,0.17276124129247314
-0.002047026554646436,0.9535587477684021,0.0,270,198.89,0.004629028686031234,0.7302805827558041,29,232000,5.0,1.9,1.3338259518146516,0.192375985455344
-0.00036050016322406006,0.9399743735790252,0.0,270,198.66,0.005484703138645273,0.8117673175036907,30,240000,5.0,1.94,1.3316922163963318,0.19899830648680744
-0.0001136125362245366,0.9590320384502411,0.0,271,209.77,0.003980292695341631,0.6987663953006268,31,248000,5.0,2.14,1.3521736299991607,0.16566142429218103
1.1898305965587497e-05,0.9439661532640458,0.0,272,217.19,0.005332449788111262,0.7939953373372555,32,256000,5.1000000000000085,2.26,1.359727977514267,0.18731951629237054
-0.001702652167296037,0.9541070634126663,0.0,272,220.15,0.005178886611975031,0.7989902570843697,33,264000,5.0,2.27,1.3301410830020906,0.18465523525836575
-0.0009176972098066472,0.9610435199737549,0.0,273,210.2,0.003331101913063321,0.6434189760684967,34,272000,5.0,2.02,1.3366527163982391,0.14206593350075428
-5.425106815891922e-05,0.927916077375412,0.0,274,201.16,0.006819839231757214,0.9019407801330089,35,280000,5.0,1.92,1.360187853574753,0.21178902192509302
-0.0006519832989943097,0.9272509646415711,0.0,274,208.23,0.006042928276583552,0.8722769044339657,36,288000,9.0,2.2,1.3749495756626129,0.20651799174907406
-0.0016819814720656723,0.9479024642705918,0.0,274,208.76,0.005098877534619533,0.8077166748046875,37,296000,7.0,2.14,1.3536332666873931,0.19169350191672105
-0.0009123794353217818,0.9434575992822647,0.0,275,213.03,0.005330831601459068,0.7886792911589146,38,304000,6.0,2.18,1.360520647764206,0.1722456175232296
-0.0008169839923499466,0.9528948926925659,0.0,276,227.54,0.005231927699933294,0.7930014425516129,39,312000,7.0,2.61,1.3519603824615478,0.1902072800887936
