policy_gradient_bias_correction,advantage_norm,policy_loss,PMM:episode_rewards,explained_variance,frames,model_prob_std,q_loss,fps,episode_length,rollout_prob_std,avg_q_selected,epoch_idx,grad_norm,P01:episode_rewards,policy_gradient_loss,P09:episode_rewards,policy_entropy,avg_q_retraced
-1.7004624934980548e-06,0.002243308255388266,-9.075396578222829e-06,0.0,-3.579516177495951,187200,0.00029106241246813503,1.0777431283241364e-07,399,3324.5833333333335,0.03041941148087813,0.0003362828111648298,26,9.894490815990996e-05,0.0,-7.374934100501831e-06,0.0,2.197220731361833,0.0003272368476291135
-1.204292717931163e-06,0.001592120388556237,-9.795476467085789e-06,0.0,-15.691215245028337,194400,0.00021761575180491452,6.766933991103061e-08,398,3324.5833333333335,0.026463451597285192,0.0003511550153524256,27,7.29108781073816e-05,0.0,-8.591183730636153e-06,0.0,2.197222276263767,0.0003421385805568351
-6.94585958537754e-07,0.0019542288539759326,-9.195093009665586e-06,0.0,-12.074479123691402,201600,0.00024317763731232847,9.224170306560657e-08,397,3324.516666666667,0.019280860070601907,0.0003497312624519013,28,8.399045358997264e-05,0.0,-8.500507042299431e-06,0.0,2.1972217041790167,0.0003387391894810005
-9.481775164413037e-07,0.001416956784084346,-9.86634479479484e-06,0.0,-17.865457233111695,208800,0.0001766403313926006,5.152304246641146e-08,395,3324.516666666667,0.02563178363507499,0.00035234106303510344,29,6.365543551011124e-05,0.0,-8.918167284429617e-06,0.0,2.197223060427519,0.0003435451793859737
-8.714850229783194e-07,0.0014769158244523587,-5.956931543099673e-06,0.0,-24.392110431752506,216000,0.00018742792741473777,5.919314158781614e-08,395,3324.516666666667,0.023685441330920994,0.00021369889832371087,30,7.261987715620766e-05,0.0,-5.085446524609615e-06,0.0,2.1972229004663135,0.0002055107444028267
-1.1267040785132288e-06,0.0014165529724570142,-8.673034040629182e-06,0.0,-32.53739302865569,223200,0.00016685101131616364,4.9811572707364314e-08,394,3324.516666666667,0.02617962184408277,0.0003073014266354019,31,5.847504889750505e-05,0.0,-7.54632996699708e-06,0.0,2.197223261411858,0.00029873492876677555
-1.4343046128719797e-06,0.0015542709141921063,-7.706318348123687e-06,0.0,-28.919542041837225,230400,0.00017741001071239484,5.5296409514847175e-08,394,3324.516666666667,0.02218401108783613,0.00028933267079357016,32,6.214048385176037e-05,0.0,-6.272013761743673e-06,0.0,2.197223110842326,0.000283798125614888
-1.3457419239056254e-06,0.00166244863057758,-8.128257112391425e-06,0.0,-20.67115494866592,237600,0.0001861007074556215,6.210914414757505e-08,394,3324.516666666667,0.0211999461988967,0.0002778773772163037,33,6.324581799099174e-05,0.0,-6.782515228063269e-06,0.0,2.197222881543057,0.0002676622007667391
-1.2814486358327654e-06,0.0013258530498625421,-7.685221589720673e-06,0.0,-471.4748456331992,244800,0.00015080410168367343,4.497323772861974e-08,393,3324.652777777778,0.02076940637997463,0.00026160284117140303,34,5.098166804326303e-05,0.0,-6.403772950416205e-06,0.0,2.197223502457457,0.00025276529669575944
-1.1114053566025236e-06,0.0011952052704102588,-5.5379432891905415e-06,0.0,-286.66756688780254,252000,0.00013839060649763904,4.787006207610187e-08,393,3324.652777777778,0.018970334746211504,0.0001779401587445468,35,5.576609342692797e-05,0.0,-4.426537945922819e-06,0.0,2.1972236085884154,0.00017438996626532613
-7.599066681468633e-07,0.0011066197535075546,-4.766778675330663e-06,0.0,-422.30818001712817,259200,0.0001291411151717933,4.015500138072681e-08,393,3324.652777777778,0.016762293373452513,0.00018544048729612737,36,4.633214147675865e-05,0.0,-4.006872002452205e-06,0.0,2.1972238662266976,0.00018428473881714228
-1.1157480532205647e-06,0.001286465897031857,-5.785068478642883e-06,0.0,-76.20553911010423,266400,0.0001422116284719965,3.6295965062805814e-08,393,3324.652777777778,0.01933883792805051,0.0002111411268295284,37,4.691131553716967e-05,0.0,-4.669320426707991e-06,0.0,2.1972236906346816,0.00020641714960855474
-1.2220932034275332e-06,0.0010595694382467744,-5.834207029784755e-06,0.0,-925.3660138808024,273600,0.000124495070855328,3.488360714030418e-08,393,3324.652777777778,0.022394133970151234,0.0002092721219664132,38,4.460261620405168e-05,0.0,-4.612113846533252e-06,0.0,2.197223993795259,0.00020335084257350813
-6.66882901423836e-07,0.0012756292847411208,-5.601700988129217e-06,0.0,-127.09043114403883,280800,0.00014569051972305007,3.600551767414374e-08,393,3324.5119047619046,0.016352173967231886,0.0001941497856150529,39,4.596103586749977e-05,0.0,-4.934818076050712e-06,0.0,2.1972236874368454,0.0001892210396978217
-8.563456881852983e-07,0.0008581552478903003,-5.363635315081382e-06,0.0,-1395.8758071461589,288000,9.598016094471296e-05,2.2717888516661325e-08,393,3324.5119047619046,0.017585522134254558,0.00019202772601847613,40,3.455591275528935e-05,0.0,-4.507289624287847e-06,0.0,2.197224433018417,0.00018621351975708472
-9.595493410454455e-07,0.0011659420721163896,-4.1829210171105434e-06,0.0,-124.46488898641618,295200,0.00013878750617467712,4.6906676931396966e-08,393,3324.5119047619046,0.02227207201581059,0.00010266182454071614,41,5.614591136272754e-05,0.0,-3.223371669381109e-06,0.0,2.197223628907321,9.701710705472184e-05
-6.781298479178266e-07,0.0008777753152047154,-4.521896984989801e-06,0.0,-854.238280186464,302400,0.00010062961881571722,2.4302986558646507e-08,393,3324.5119047619046,0.01630788693276135,0.0001625281842893013,42,3.389713739417406e-05,0.0,-3.843767140811345e-06,0.0,2.197224390979797,0.0001589883008557235
-7.40382763000792e-07,0.0010666609706457542,-3.973314130323701e-06,0.0,-509.16225037159427,309600,0.0001296440515898753,2.820185588468254e-08,394,3324.5119047619046,0.01871320883773419,0.00015729823757615197,43,4.063906174749984e-05,0.0,-3.2329313664451633e-06,0.0,2.197223981912174,0.00015217433405723571
-5.861034293148341e-07,0.0010405470099464314,-3.88879886268042e-06,0.0,-887.0303640674599,316800,0.00011664599499463221,2.6159154959276475e-08,394,3324.5119047619046,0.01432348890370896,0.00014900394587779634,44,3.755219967466509e-05,0.0,-3.3026954342766036e-06,0.0,2.1972241505554746,0.00014703192353206557
-7.832056536820425e-07,0.0009393072315107948,-4.393211154705207e-06,0.0,-1131.7185366069402,324000,0.00010469946356192062,2.7115823070714876e-08,393,3324.4270833333335,0.020828775089049217,0.0001400477628764444,45,3.4572139518219386e-05,0.0,-3.610005508452162e-06,0.0,2.1972243249717383,0.00013415204519077282
-6.763718615110323e-07,0.0008494695485694915,-3.4705725690634764e-06,0.0,-903.8159435820999,331200,9.937943996803658e-05,2.905477594000145e-08,393,3324.4270833333335,0.02010854868358949,0.00010721960152512308,46,3.7342405889855406e-05,0.0,-2.794200714307488e-06,0.0,2.1972244612166607,0.0001036242065503074
-4.352821964756812e-07,0.0008252314077128089,-2.678317707875014e-06,0.0,-919.735142274584,338400,9.350240172874157e-05,2.370771745753938e-08,394,3324.4270833333335,0.01686591678698511,0.00010480969207939837,47,3.203978666258422e-05,0.0,-2.2430355225385e-06,0.0,2.1972244052186842,0.00010078313049104638
-5.564609459922395e-07,0.0008836788808085182,-3.0290643545921917e-06,0.0,-334.41947576464975,345600,9.674868082151343e-05,2.056093169554749e-08,393,3324.4270833333335,0.01779269404048439,0.00011590289411290875,48,3.0723789091528146e-05,0.0,-2.4726034182993518e-06,0.0,2.1972244885502206,0.0001116735255456644
-4.1560347047682934e-07,0.0007041219997486295,-2.874183653062575e-06,0.0,-1467.0615249538039,352800,8.312400776509953e-05,1.6809400882084928e-08,393,3324.4270833333335,0.01372816333703219,0.00010559757281202657,49,2.7110478783656442e-05,0.0,-2.458580179084913e-06,0.0,2.197224695398694,0.00010215277620700937
-3.460262723481698e-07,0.0008887403924754402,-2.6367056687196366e-06,0.0,-350.9234723226418,360000,9.511832823187029e-05,1.8071461689231396e-08,394,3324.65,0.012964730818303287,0.00010210721658545986,50,2.862296990372321e-05,0.0,-2.290679399663648e-06,0.0,2.1972245027905415,9.995111180672659e-05
-3.143851625332496e-07,0.0006079431423104901,-2.392428825329446e-06,0.0,-1824.0903886489261,367200,6.915618264520644e-05,1.4678159353809876e-08,394,3324.65,0.010632524972809605,9.709358982063134e-05,51,2.270105923255612e-05,0.0,-2.0780436643503682e-06,0.0,2.1972248402758248,9.579723014323183e-05
-3.982745609888551e-07,0.000804209720220584,-2.3117271044789445e-06,0.0,-149.514715014488,374400,9.37017302174585e-05,2.7400186918383942e-08,394,3324.65,0.013136449811402327,6.70613401336475e-05,52,3.588763625910486e-05,0.0,-1.9134525390725122e-06,0.0,2.197224589056439,6.591185660833315e-05
-4.6684168501719296e-07,0.0007115403669584136,-2.544374208000207e-06,0.0,-1192.8208432808185,381600,8.022386280079749e-05,1.6807289614722494e-08,394,3324.65,0.01715392003522753,8.957713785194857e-05,53,2.5483929923388588e-05,0.0,-2.077532517456571e-06,0.0,2.1972247487306595,8.858920562488493e-05
-4.5383066499595326e-07,0.0007746402935953526,-2.4969984365959197e-06,0.0,-662.4551068249582,388800,8.695300701331704e-05,1.64826211215477e-08,394,3324.65,0.018495962776392833,8.488380130796622e-05,54,2.628477194039591e-05,0.0,-2.0431677677765694e-06,0.0,2.197224715493974,8.221511219282606e-05
