episode_length,avg_q_retraced,avg_q_selected,q_loss,policy_gradient_loss,advantage_norm,frames,policy_gradient_bias_correction,policy_loss,PMM:episode_rewards,epoch_idx,model_prob_std,rollout_prob_std,grad_norm,explained_variance,fps,P09:episode_rewards,P01:episode_rewards,policy_entropy
3324.25,-0.0007319739675343347,-0.0008314203310874291,2.2844947870718595e-05,8.371703940686832e-06,0.03721477851892511,79200,0.0,8.371703940686832e-06,0.0,11,0.011856142741938433,0.011856142741938433,0.002834963939893939,-7.731077798207601,370,0.0,0.0,2.191408634185791
3324.0,0.00024657322210259737,0.00026732298186592137,2.9542855476923554e-06,-8.52187830796917e-06,0.008133014741664132,86400,0.0,-8.52187830796917e-06,0.0,12,0.00793455207409958,0.00793455207409958,0.0006739076674639496,-16.20645046234131,375,0.0,0.0,2.1945879459381104
3324.0,0.0008543373027350753,0.0008422686340054497,6.480291981840007e-07,-1.566790689745782e-05,0.003105090046301484,93600,0.0,-1.566790689745782e-05,0.0,13,0.007049694486583272,0.007049694502105315,0.0002999694796495112,-13.297829945882162,380,0.0,0.0,2.195197908083598
3324.0,0.0006736634881235659,0.0006739452364854515,7.815379158652528e-07,-1.7622422852051993e-05,0.006569780712015927,100800,0.0,-1.7622422852051993e-05,0.0,14,0.006922776841868957,0.0069227767642587425,0.0004601642015600456,-9.07322808901469,384,0.0,0.0,2.1952797174453735
3324.0,3.5548760782451914e-05,1.2699982865645628e-06,1.8627213681080926e-05,-2.9738492533700387e-07,0.03288064551694939,108000,0.0,-2.9738492533700387e-07,0.0,15,0.010473227330173055,0.010473227237040798,0.002433141580572691,-11.351862239837647,388,0.0,0.0,2.192787766456604
3324.0,0.0005876741694616309,0.0005598935616338471,4.250276803929865e-06,-1.7126738778946068e-05,0.010087199008557946,115200,0.0,-1.7126738778946068e-05,0.0,16,0.00691580221367379,0.00691580221367379,0.0007210288553708088,-10.941053040822347,391,0.0,0.0,2.1951889038085937
3323.972222222222,0.0003477057501368108,0.0003615886740994433,1.3327466002921697e-05,-1.1120247861211082e-05,0.029113488635953724,122400,1.3949766842655562e-06,-9.725271237799564e-06,0.0,17,0.008975470552039849,0.011355477863043133,0.00200117924855821,-9.721848511828316,390,0.0,0.0,2.193891545600361
3323.972222222222,0.0010426240492822777,0.001027499621759165,2.7514401145857e-06,-2.135135414940829e-05,0.012261462890244558,129600,4.627816907553051e-06,-1.672353730738814e-05,0.0,18,0.006365301333074517,0.016054575938511707,0.0007495556894368615,-10.16104648019615,385,0.0,0.0,2.195569959447727
3323.972222222222,0.0012680540094105895,0.001275834080861098,1.936507770383043e-06,-2.9412425200662252e-05,0.010802647629826669,136800,2.707896051473895e-06,-2.670452909457694e-05,0.0,19,0.00588034648889868,0.016222695782558902,0.0006303112704370737,-8.59067890065057,381,0.0,0.0,2.195812240734933
3323.972222222222,0.0011296956293625517,0.0011314496878279629,2.7295879696517296e-06,-2.5330143033491585e-05,0.012725401932494369,144000,2.004123789434729e-06,-2.332601933374092e-05,0.0,20,0.005325329709729111,0.014606439095352674,0.0006994647355401709,-7.076100179619259,376,0.0,0.0,2.196055371408109
3323.972222222222,0.0010532765384275644,0.0010529287311314079,2.2608980423951173e-06,-2.530611123396349e-05,0.011491930209948419,151200,3.380323096509288e-06,-2.1925788172944114e-05,0.0,21,0.004879097343452039,0.014763616883964648,0.0006151015028377355,-7.208394722408719,374,0.0,0.0,2.1962291421965947
